POSTID,KEYFIELD,PRODUCT,GROUP,COV_CD,RES_BASE_C,COV_SEQ_NR,BEN_TERM,COV_ST_YR,COV_ST_MTH,ANN_BEF,ANN_1,ANN_2,ANN_INC_PC,ANN_INC_AM,ISS_YR_ANN,ISS_YR_MTH
107376540,107376540,TRAD,DIL,770,92,1,180,2010,5,7354.00,,,,,2010,5
107376870,107376870,TRAD,DIL,770,92,1,180,2010,5,6932.00,,,,,2010,5
107377450,107377450,TRAD,DIL,770,95,1,168,2010,5,7233.00,7233.00,5063.00,0.00,,2010,5
107377530,107377530,TRAD,DIL,700,95,1,9999,2010,5,742.00,742.00,520.00,0.00,,2010,5
107377710,107377710,TRAD,DIL,700,95,1,9999,2010,2,530.00,,,0.00,,2010,2
107377770,107377770,TRAD,DIL,770,95,1,209,2010,3,1441.00,,,0.00,,2010,3
107377780,107377780,TRAD,DIL,700,95,1,9999,2010,1,1598.00,,,0.00,,2010,1
107377790,107377790,TRAD,DIL,700,95,1,9999,2008,12,338.00,,,0.00,,2008,12
107377800,107377800,TRAD,DIL,700,95,1,9999,2008,12,349.00,,,0.00,,2008,12
107378390,107378390,TRAD,DIL,700,95,1,9999,2010,5,1413.00,,,0.00,,2010,5
107378610,107378610,TRAD,DIL,770,95,1,193,2010,12,13631.00,13631.00,,0.00,,2010,12
107378610,107378610,TRAD,DIL,970,67,2,193,2010,12,1.00,,9542.00,0.00,,2010,12
107378840,107378840,TRAD,DIL,700,95,1,9999,2010,5,933.00,,,0.00,,2010,5
107378920,107378920,TRAD,DIL,770,95,1,151,2010,4,12029.00,12029.00,12029.00,0.00,,2010,4
107378940,107378940,TRAD,DIL,770,95,1,151,2010,4,6819.00,6819.00,6819.00,0.00,,2010,4
107379170,107379170,TRAD,DIL,700,92,1,9999,2010,6,9734.00,,,,,2010,6
107379240,107379240,TRAD,DIL,700,95,1,9999,2010,2,286.00,,,0.00,,2010,2
107379260,107379260,TRAD,DIL,700,95,1,9999,2010,2,299.00,,,0.00,,2010,2
107379270,107379270,TRAD,DIL,700,95,1,9999,2010,2,280.00,,,0.00,,2010,2
107379880,107379880,TRAD,DIL,770,95,1,180,2010,5,880.00,616.00,616.00,0.00,,2010,5
107379960,107379960,TRAD,DIL,770,95,1,180,2010,5,10619.00,,,0.00,,2010,5
107380100,107380100,TRAD,DIL,770,95,1,180,2010,6,1871.00,1310.00,1310.00,0.00,,2010,6
107380260,107380260,TRAD,DIL,700,95,1,9999,2010,6,5416.00,,,0.00,,2010,6
107380290,107380290,TRAD,DIL,700,95,1,9999,2010,6,1518.00,,,0.00,,2010,6
107380340,107380340,TRAD,DIL,770,95,1,178,2010,6,9101.00,9101.00,,0.00,,2010,6
107380340,107380340,TRAD,DIL,970,161,2,178,2010,6,1.00,,9101.00,0.00,,2010,6
107380640,107380640,TRAD,DIL,700,95,1,9999,2010,6,5557.00,5557.00,5557.00,0.00,,2010,6
107381200,107381200,TRAD,DIL,700,95,1,9999,2010,5,33516.00,,,0.00,,2010,5
107381250,107381250,TRAD,DIL,700,95,1,9999,2010,5,905.00,,,0.00,,2010,5
107381460,107381460,TRAD,DIL,770,95,1,264,2010,10,525.00,,,0.00,,2010,10
107381620,107381620,TRAD,DIL,700,95,1,9999,2010,1,306.00,,,0.00,,2010,1
107381680,107381680,TRAD,DIL,700,95,1,9999,2010,6,650.00,,,0.00,,2010,6
107381690,107381690,TRAD,DIL,700,95,1,9999,2010,4,4496.00,,,0.00,,2010,4
107381700,107381700,TRAD,DIL,700,95,1,9999,2010,1,200.00,,,0.00,,2010,1
107382170,107382170,TRAD,DIL,700,95,1,9999,2010,6,773.00,,,0.00,,2010,6
107382520,107382520,TRAD,DIL,700,95,1,9999,2010,6,3443.00,,,0.00,,2010,6
107382680,107382680,TRAD,DIL,700,95,1,9999,2010,6,645.00,,,0.00,,2010,6
107382920,107382920,TRAD,DIL,770,95,1,156,2010,4,10818.00,,,0.00,,2010,4
107383330,107383330,TRAD,DIL,700,95,1,9999,2010,6,6544.00,,,0.00,,2010,6
107383360,107383360,TRAD,DIL,700,95,1,9999,2010,6,2835.00,2835.00,1985.00,0.00,,2010,6
107383510,107383510,TRAD,DIL,700,95,1,9999,2010,7,2294.00,2294.00,1606.00,0.00,,2010,7
107383610,107383610,TRAD,DIL,700,95,1,9999,2010,1,194.00,,,0.00,,2010,1
107383630,107383630,TRAD,DIL,700,95,1,9999,2009,2,830.00,,,0.00,,2009,2
107383720,107383720,TRAD,DIL,700,95,1,9999,2010,6,731.00,731.00,731.00,0.00,,2010,6
107383740,107383740,TRAD,DIL,700,95,1,9999,2010,6,13397.00,13397.00,13397.00,0.00,,2010,6
107384340,107384340,TRAD,DIL,700,95,1,9999,2010,6,3473.00,,,0.00,,2010,6
107384390,107384390,TRAD,DIL,770,95,1,180,2010,6,4276.00,,,0.00,,2010,6
107384660,107384660,TRAD,DIL,770,95,1,180,2007,12,859.00,,,0.00,,2007,12
107384670,107384670,TRAD,DIL,770,95,1,192,2007,12,816.00,,,0.00,,2007,12
107384700,107384700,TRAD,DIL,770,95,1,227,2009,7,813.00,,,0.00,,2009,7
107384760,107384760,TRAD,DIL,700,95,1,9999,2010,7,354.00,,,0.00,,2010,7
107384780,107384780,TRAD,DIL,700,95,1,9999,2010,6,1499.00,,,0.00,,2010,6
107384840,107384840,TRAD,DIL,770,95,1,170,2010,5,5651.00,,,0.00,,2010,5
107385000,107385000,TRAD,DIL,700,95,1,9999,2010,7,3382.00,,,0.00,,2010,7
107385170,107385170,TRAD,DIL,700,95,1,9999,2010,7,3036.00,,,0.00,,2010,7
107385390,107385390,TRAD,DIL,700,95,1,9999,2010,5,429.00,429.00,300.00,0.00,,2010,5
107385660,107385660,TRAD,DIL,700,95,1,9999,2010,6,597.00,597.00,597.00,0.00,,2010,6
107385670,107385670,TRAD,DIL,770,95,1,180,2010,6,8316.00,8316.00,5821.00,0.00,,2010,6
107385690,107385690,TRAD,DIL,700,95,1,9999,2010,5,540.00,,,0.00,,2010,5
107386230,107386230,TRAD,DIL,700,95,1,9999,2010,6,1581.00,,,0.00,,2010,6
107386250,107386250,TRAD,DIL,700,95,1,9999,2010,6,2727.00,,,0.00,,2010,6
107386460,107386460,TRAD,DIL,700,95,1,9999,2010,4,10421.00,,,0.00,,2010,4
107386520,107386520,TRAD,DIL,700,95,1,9999,2010,6,746.00,746.00,522.00,0.00,,2010,6
107386710,107386710,TRAD,DIL,700,95,1,9999,2010,6,3005.00,,,0.00,,2010,6
107387070,107387070,TRAD,DIL,700,95,1,9999,2010,5,1580.00,,,0.00,,2010,5
107387490,107387490,TRAD,DIL,700,95,1,9999,2009,12,710.00,,,0.00,,2009,12
107387650,107387650,TRAD,DIL,700,95,1,9999,2010,4,6935.00,,,0.00,,2010,4
107387750,107387750,TRAD,DIL,700,95,1,9999,2010,7,2168.00,2168.00,1517.00,0.00,,2010,7
107387870,107387870,TRAD,DIL,700,95,1,9999,2010,7,4565.00,,,0.00,,2010,7
107388060,107388060,TRAD,DIL,700,95,1,9999,2010,7,7126.00,7126.00,7126.00,0.00,,2010,7
107388180,107388180,TRAD,DIL,700,95,1,9999,2010,6,7462.00,,,0.00,,2010,6
107388390,107388390,TRAD,DIL,770,95,1,157,2010,6,5209.00,5209.00,5209.00,0.00,,2010,6
107388400,107388400,TRAD,DIL,700,95,1,9999,2010,7,1158.00,,,0.00,,2010,7
107388550,107388550,TRAD,DIL,770,95,1,180,2010,7,4574.00,4574.00,4574.00,0.00,,2010,7
107388860,107388860,TRAD,DIL,770,95,1,212,2010,9,7601.00,,,0.00,,2010,9
107389100,107389100,TRAD,DIL,700,95,1,9999,2010,6,7527.00,7527.00,7527.00,0.00,,2010,6
107389140,107389140,TRAD,DIL,700,95,1,9999,2010,5,1320.00,1320.00,1320.00,0.00,,2010,5
107389250,107389250,TRAD,DIL,700,95,1,9999,2010,3,347.00,,,0.00,,2010,3
107390250,107390250,TRAD,DIL,700,95,1,9999,2010,7,1798.00,,,0.00,,2010,7
107390270,107390270,TRAD,DIL,700,95,1,9999,2010,4,2700.00,,,0.00,,2010,4
107390740,107390740,TRAD,DIL,770,95,1,288,2010,9,9516.00,9516.00,9516.00,0.00,,2010,9
107390820,107390820,TRAD,DIL,700,95,1,9999,2010,7,4390.00,4390.00,4390.00,0.00,,2010,7
107390850,107390850,TRAD,DIL,700,95,1,9999,2010,7,17396.00,,,0.00,,2010,7
107391120,107391120,TRAD,DIL,700,95,1,9999,2010,8,2246.00,,,0.00,,2010,8
107391220,107391220,TRAD,DIL,770,95,1,180,2010,7,5551.00,,,0.00,,2010,7
107391300,107391300,TRAD,DIL,700,95,1,9999,2010,7,5541.00,,,0.00,,2010,7
107391310,107391310,TRAD,DIL,700,95,1,9999,2010,7,431.00,,,0.00,,2010,7
107392310,107392310,TRAD,DIL,700,95,1,9999,2010,8,791.00,554.00,554.00,0.00,,2010,8
107392720,107392720,TRAD,DIL,770,95,1,201,2010,6,2052.00,2052.00,2052.00,0.00,,2010,6
107392830,107392830,TRAD,DIL,770,95,1,167,2010,1,2381.00,,,0.00,,2010,1
107392890,107392890,TRAD,DIL,700,95,1,9999,2010,2,521.00,,,0.00,,2010,2
107392960,107392960,TRAD,DIL,770,95,1,360,2010,7,11232.00,,,0.00,,2010,7
107393660,107393660,TRAD,DIL,770,95,1,360,2010,8,2041.00,2041.00,1836.00,0.00,,2010,8
107394110,107394110,TRAD,DIL,700,95,1,9999,2010,5,1051.00,,,0.00,,2010,5
107394240,107394240,TRAD,DIL,700,95,1,9999,2010,7,12118.00,,,0.00,,2010,7
107394250,107394250,TRAD,DIL,700,92,1,9999,2010,8,2277.00,,,,,2010,8
107394260,107394260,TRAD,DIL,700,92,1,9999,2010,8,2467.00,,,,,2010,8
107394300,107394300,TRAD,DIL,700,95,1,9999,2010,7,3436.00,,,0.00,,2010,7
107394350,107394350,TRAD,DIL,700,95,1,9999,2010,3,819.00,,,0.00,,2010,3
107394360,107394360,TRAD,DIL,700,95,1,9999,2010,3,796.00,,,0.00,,2010,3
107394380,107394380,TRAD,DIL,700,95,1,9999,2010,3,805.00,,,0.00,,2010,3
107394400,107394400,TRAD,DIL,700,95,1,9999,2009,12,279.00,,,0.00,,2009,12
107394820,107394820,TRAD,DIL,700,95,1,9999,2010,8,833.00,,,0.00,,2010,8
107394880,107394880,TRAD,DIL,700,95,1,9999,2010,2,505.00,,,0.00,,2010,2
107394890,107394890,TRAD,DIL,700,95,1,9999,2010,2,485.00,,,0.00,,2010,2
107395470,107395470,TRAD,DIL,700,95,1,9999,2010,6,6459.00,,,0.00,,2010,6
107395670,107395670,TRAD,DIL,770,95,1,168,2010,8,1638.00,1638.00,1638.00,0.00,,2010,8
107395680,107395680,TRAD,DIL,770,95,1,228,2010,6,488.00,,,0.00,,2010,6
107396310,107396310,TRAD,DIL,700,95,1,9999,2010,8,6902.00,,,0.00,,2010,8
107396450,107396450,TRAD,DIL,700,95,1,9999,2010,7,858.00,,,0.00,,2010,7
107396620,107396620,TRAD,DIL,700,95,1,9999,2010,3,553.00,,,0.00,,2010,3
107396650,107396650,TRAD,DIL,700,95,1,9999,2010,2,214.00,,,0.00,,2010,2
107396670,107396670,TRAD,DIL,700,95,1,9999,2010,2,225.00,,,0.00,,2010,2
107396900,107396900,TRAD,DIL,770,95,1,180,2010,6,6832.00,6832.00,6832.00,0.00,,2010,6
107397100,107397100,TRAD,DIL,770,95,1,168,2010,8,3322.00,3322.00,3322.00,0.00,,2010,8
107397150,107397150,TRAD,DIL,700,95,1,9999,2010,8,3445.00,,,0.00,,2010,8
107397200,107397200,TRAD,DIL,700,95,1,9999,2009,10,391.00,,,0.00,,2009,10
107397620,107397620,TRAD,DIL,770,95,1,180,2010,7,5095.00,,,0.00,,2010,7
107397630,107397630,TRAD,DIL,770,95,1,153,2010,7,5825.00,5825.00,5825.00,0.00,,2010,7
107397690,107397690,TRAD,DIL,700,95,1,9999,2010,5,959.00,,,0.00,,2010,5
107398040,107398040,TRAD,DIL,700,95,1,9999,2010,7,771.00,771.00,540.00,0.00,,2010,7
107398310,107398310,TRAD,DIL,700,95,1,9999,2009,10,384.00,,,0.00,,2009,10
