prodboomcd,remaining_years,value
AEGON_SPAARBEURS_spaaradvies,10,1.0
AEGON_SPAARBEURS_spaaradvies,11,1.0
AEGON_SPAARBEURS_spaaradvies,12,1.0
AEGON_SPAARBEURS_spaaradvies,13,1.0
AEGON_SPAARBEURS_spaaradvies,14,1.0
AEGON_SPAARBEURS_spaaradvies,15,1.0
AEGON_SPAARBEURS_spaaradvies,16,1.0
AEGON_SPAARBEURS_spaaradvies,17,1.0
AEGON_SPAARBEURS_spaaradvies,18,1.0
AEGON_SPAARBEURS_spaaradvies,19,1.0
AEGON_SPAARBEURS_spaaradvies,20,1.0
AEGON_SPAARBEURS_spaaradvies,21,1.0
AEGON_SPAARBEURS_spaaradvies,22,1.0
AEGON_SPAARBEURS_spaaradvies,23,1.0
AEGON_SPAARBEURS_spaaradvies,24,1.0
AEGON_SPAARBEURS_spaaradvies,25,1.0
AEGON_SPAARBEURS_spaaradvies,26,1.0
AEGON_SPAARBEURS_spaaradvies,27,1.0
AEGON_SPAARBEURS_spaaradvies,28,1.0
AEGON_SPAARBEURS_spaaradvies,29,1.0
AEGON_SPAARBEURS_spaaradvies,30,1.0
AEGON_SPAARBEURS_spaaradvies,31,1.0
AEGON_SPAARBEURS_spaarbelegger,0,1.0
AEGON_SPAARBEURS_spaarbelegger,1,1.0
AEGON_SPAARBEURS_spaarbelegger,2,1.0
AEGON_SPAARBEURS_spaarbelegger,3,1.0
AEGON_SPAARBEURS_spaarbelegger,4,1.0
AEGON_SPAARBEURS_spaarbelegger,5,1.0
AEGON_SPAARBEURS_spaarbelegger,6,1.0
AEGON_SPAARBEURS_spaarbelegger,7,1.0
AEGON_SPAARBEURS_spaarbelegger,8,1.0
AEGON_SPAARBEURS_spaarbelegger,9,1.0
AEGON_SPAARBEURS_spaarbelegger,10,1.0
AEGON_SPAARBEURS_spaarbelegger,11,1.0
AEGON_SPAARBEURS_spaarbelegger,12,1.0
AEGON_SPAARBEURS_spaarbelegger,13,1.0
AEGON_SPAARBEURS_spaarbelegger,14,1.0
AEGON_SPAARBEURS_spaarbelegger,15,1.0
AEGON_SPAARBEURS_spaarbelegger,16,1.0
AEGON_SPAARBEURS_spaarbelegger,17,1.0
AEGON_SPAARBEURS_spaarbelegger,18,1.0
AEGON_SPAARBEURS_spaarbelegger,19,1.0
AEGON_SPAARBEURS_spaarbelegger,20,1.0
AEGON_SPAARBEURS_spaarbelegger,21,1.0
AEGON_SPAARBEURS_spaarbelegger,22,1.0
