fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
95,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
96,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
97,ASNDuurzaamAandelenfonds,01/01/2023,1.0,0,0,2,0,0,1.0678577755092709,1.1063940355734012,1.0399752093577408
98,TriodosSustainableMixedFund,01/01/2023,1.0,0,0,1,0,0,1.0305538556640998,1.016951822521542,1.0242667365201201
99,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
100,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
101,UNIBAIL-RODAMCO,01/01/2023,1.0,0,0,2,0,0,1.2167378666317399,1.2325043190259215,1.0159659431122854
102,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
103,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
104,AEGONRenteFund,01/01/2023,1.0,1,2,0,0,1,1.0177238370381312,0.9921992961509916,1.0266396609279842
105,AEGONMixFund,01/01/2023,1.0,1,2,1,0,1,1.0328034779905997,1.0211005583542054,1.0
106,OptimixAmericaFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0188719423324055
107,OptimixEuropeFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0253161916172524
108,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
109,InsingerMultiManagerEquityC,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
110,InsingerMultiManagerBalancedC,01/01/2023,1.0,0,0,1,0,0,1.0344382693862022,1.0235705018526944,1.0671468286186618
111,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
112,ComfortMixFund(=AEGONMixFund),01/01/2023,1.0,0,0,1,0,1,1.0323671787973672,1.0201545455545806,1.074403006211383
113,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
114,ComfortAandelenFund(=AEGONEquityFund),01/01/2023,1.0,0,0,2,0,1,1.0605325943145767,1.0641493499926766,1.0255466717675388
115,DeltaLloydL-GlobalFund-A,01/01/2023,1.0,0,0,2,0,0,1.0515210584725578,1.050960820481057,0.9851299952158976
116,DeltaLloydL-CyrteGlobalFund,01/01/2023,1.0,0,0,2,0,0,1.0287011730966418,1.027349961760785,1.0
117,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
118,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
119,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
120,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
121,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
122,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
123,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
124,HOFHoornemanEuropeanValueFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0694505043435742
125,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
126,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
127,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
128,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
129,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
130,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
131,RobecoUSLargeCapEQ-DH,01/01/2023,1.0,0,0,2,0,0,1.043568504540344,1.008046983722669,0.9894294709871386
132,AllianzEuropaAandelenFonds,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.2083641665689095
