model,fund_number,fund_name,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11
FP,5,Deposito_Fund,0.0,0.0,0.0,0.0027,0.0,0.0,0.001412,0.0,0.0,0.0,0.0
FP,6,IndexPlus_Fund,0.0,0.0,0.0,0.0039,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
FP,7,Emerging_Markets_Fund,0.0,0.0,0.0,0.0075,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
FP,8,GarantiePlus,0.0,0.0,0.0,0.0027,0.0,0.0,0.001412,0.0,0.0,0.0,0.0
FP,9,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,10,Levensloop_HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0,0.0
FP,11,Equity_Holland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,12,-,0.0,0.0,0.0,0.0039,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
FP,13,Equity_Europe,0.0,0.0,0.0,0.0051,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
FP,14,Hypotheek_Rekening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,15,Equity_North_America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,16,Equity_Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,17,GAR_Click_95_FND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,18,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,19,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,20,USA-Dollar_Fonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,21,AUS-Dollar_Fonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,22,ECU_Fonds,0.0,0.0,0.0,0.006259303,0.0,0.0,0.001797001,0.0,0.0,0.0,0.0
FP,23,Valuta_Mix_Fonds,0.0,0.0,0.0,0.005597035,0.0,0.0,0.001643604,0.0,0.0,0.0,0.0
FP,24,Deposito_Fonds_(Val),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,25,STAATSLENINGEN,0.0,0.0,0.0,0.0103,0.0,0.0,5.6E-4,0.0,0.0039,0.0036,3.0E-4
FP,26,-,0.0,0.0,0.0,0.0103,0.0,0.0,5.6E-4,0.0,0.0039,0.0036,3.0E-4
FP,27,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,28,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,29,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,30,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,31,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,32,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
