age,gbv6165,gbv8085,gbm0005nr,gbm0005r,gbv0005nr,gbv0005r,gbv9095,gbv9500,gbm2130,gbm4749,gbm5660,gbm6165,gbm7680,gbm8085,gbv8590,gbm8590,gbm9095,gbm9500,gbm0005,gbm6670,gbm93,gbm2003,gbu2003,gbv93,gbv2003,gbm7680avn,gbm8085avn,gbm8085avnnierop,gbm9095_102,gbm9095avn,gbv8085avn,gbv8085avnnierop,gbv9095_112,f475,m475
10,3.22597E-4,1.26059E-4,1.3631E-4,1.6714E-4,9.45E-5,1.11412E-4,1.22149E-4,1.013E-4,0.00131232,8.4727E-4,5.03955E-4,4.26111E-4,2.0994E-4,2.52235E-4,1.71695E-4,2.05321E-4,1.81328E-4,1.347E-4,1.33371E-4,7.20479E-4,6.84E-5,4.66E-5,4.76E-5,1.11324E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.781E-4,0.0010185
11,3.26213E-4,1.5902E-4,1.39287E-4,1.72853E-4,1.03883E-4,1.23699E-4,1.36683E-4,1.124E-4,0.001247209,8.56262E-4,5.13356E-4,4.38444E-4,2.75135E-4,2.52199E-4,1.71724E-4,2.05363E-4,1.81261E-4,1.408E-4,1.41287E-4,7.31677E-4,6.85E-5,4.66E-5,4.76E-5,1.11236E-4,5.82E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.3E-4,7.823E-4,0.0010316
12,3.30234E-4,1.86288E-4,1.47505E-4,1.85305E-4,1.10113E-4,1.32412E-4,1.60237E-4,1.292E-4,0.001226992,8.65984E-4,5.23878E-4,4.51998E-4,3.48499E-4,2.52162E-4,1.71653E-4,2.05305E-4,1.81194E-4,1.591E-4,1.5829E-4,7.43302E-4,6.85E-5,4.66E-5,4.76E-5,1.11349E-4,6.46E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.6E-4,7.869E-4,0.0010459
13,3.34661E-4,2.09963E-4,1.64601E-4,2.0937E-4,1.25225E-4,1.52106E-4,1.80396E-4,1.508E-4,0.001309247,8.77045E-4,5.35423E-4,4.66877E-4,4.27251E-4,2.92959E-4,1.85413E-4,2.05247E-4,1.9967E-4,1.947E-4,1.83503E-4,7.55256E-4,6.84E-5,6.06E-5,4.76E-5,1.20174E-4,7.16E-5,7.0E-4,7.0E-4,7.0E-4,1.9E-4,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.921E-4,0.0010618
14,3.39795E-4,2.30547E-4,1.8993E-4,2.44655E-4,1.36777E-4,1.67854E-4,1.9796E-4,1.764E-4,0.001438296,8.89145E-4,5.48194E-4,4.83386E-4,5.08104E-4,4.02234E-4,2.08403E-4,3.10993E-4,2.95254E-4,2.44E-4,2.20622E-4,7.6774E-4,1.03699E-4,7.38E-5,4.884E-5,1.35112E-4,7.95E-5,7.0E-4,7.0E-4,7.0E-4,2.9E-4,7.0E-4,7.0E-4,7.0E-4,1.9E-4,7.98E-4,0.0010793
15,3.45537E-4,2.48439E-4,2.24633E-4,2.93072E-4,1.54074E-4,1.91072E-4,2.1313E-4,2.026E-4,0.001692308,9.02492E-4,5.62396E-4,5.01628E-4,5.8797E-4,4.9416E-4,2.27797E-4,4.09603E-4,3.77876E-4,3.079E-4,2.74912E-4,7.80455E-4,1.36545E-4,9.18E-5,6.13E-5,1.47651E-4,8.78E-5,7.0E-4,7.0E-4,7.0E-4,3.7E-4,7.0E-4,7.0E-4,7.0E-4,2.1E-4,8.045E-4,0.0010986
16,3.51788E-4,2.64139E-4,2.74893E-4,3.63284E-4,1.77223E-4,2.22132E-4,2.26505E-4,2.233E-4,0.001957792,9.17496E-4,5.78032E-4,5.21609E-4,6.6335E-4,5.70343E-4,2.44296E-4,4.92066E-4,4.48245E-4,3.993E-4,3.48173E-4,7.93705E-4,1.63996E-4,1.12333E-4,7.334E-5,1.58393E-4,9.59E-5,7.0E-4,7.0E-4,7.0E-4,4.4E-4,7.0E-4,7.0E-4,7.0E-4,2.2E-4,8.117E-4,0.0011199
17,3.5895E-4,2.77945E-4,3.41348E-4,4.56968E-4,1.99487E-4,2.52754E-4,2.38385E-4,2.325E-4,0.002274085,9.3396E-4,5.9541E-4,5.43635E-4,7.31435E-4,6.32278E-4,2.58399E-4,5.59583E-4,5.07965E-4,4.713E-4,4.21064E-4,8.07492E-4,1.86454E-4,1.34057E-4,8.942E-5,1.67536E-4,1.01824E-4,7.3E-4,7.0E-4,7.0E-4,5.0E-4,7.0E-4,7.0E-4,7.0E-4,2.3E-4,8.199E-4,0.0011435
18,3.66924E-4,2.90359E-4,4.05732E-4,5.50232E-4,2.14236E-4,2.74424E-4,2.49171E-4,2.495E-4,0.002568468,9.52298E-4,6.14635E-4,5.67913E-4,7.90211E-4,6.81655E-4,2.70607E-4,6.13746E-4,5.58031E-4,5.603E-4,4.96097E-4,8.21514E-4,2.04617E-4,1.55257E-4,1.0742E-4,1.75381E-4,1.04147E-4,7.9E-4,7.0E-4,7.0E-4,5.5E-4,7.0E-4,7.0E-4,7.0E-4,2.4E-4,8.29E-4,0.0011695
19,3.75913E-4,3.0178E-4,4.71191E-4,6.47314E-4,2.26642E-4,2.93536E-4,2.59564E-4,2.666E-4,0.002674485,9.72515E-4,6.35913E-4,5.9455E-4,8.38249E-4,7.19758E-4,2.81519E-4,6.56244E-4,5.99538E-4,6.235E-4,5.59811E-4,8.36279E-4,2.18683E-4,1.75677E-4,1.2638E-4,1.82529E-4,1.04589E-4,8.4E-4,7.2E-4,7.2E-4,5.9E-4,7.0E-4,7.0E-4,7.0E-4,2.5E-4,8.391E-4,0.0011981
20,3.85919E-4,3.1261E-4,5.25846E-4,7.31749E-4,2.29812E-4,3.00968E-4,2.69663E-4,2.687E-4,0.002819298,9.94927E-4,6.59354E-4,6.24059E-4,8.74921E-4,7.48274E-4,2.91537E-4,6.88563E-4,6.33778E-4,6.636E-4,5.96985E-4,8.51487E-4,2.29552E-4,1.9189E-4,1.446E-4,1.88978E-4,1.0459E-4,8.8E-4,7.5E-4,7.5E-4,6.3E-4,7.0E-4,7.0E-4,7.0E-4,2.6E-4,8.505E-4,0.0012298
21,3.97145E-4,3.23348E-4,5.54208E-4,7.81127E-4,2.32221E-4,3.07539E-4,2.80172E-4,2.759E-4,0.002965041,0.00101995,6.85368E-4,6.56549E-4,9.00997E-4,7.6879E-4,3.01363E-4,7.1229E-4,6.61845E-4,6.707E-4,5.9057E-4,8.6724E-4,2.49749E-4,2.03375E-4,1.6138E-4,1.95833E-4,1.04591E-4,9.0E-4,7.7E-4,7.7E-4,6.6E-4,7.0E-4,7.0E-4,7.0E-4,2.8E-4,8.632E-4,0.0012647
22,4.09693E-4,3.34399E-4,5.44002E-4,7.7649E-4,2.38581E-4,3.19517E-4,2.91392E-4,2.838E-4,0.003022318,0.001047495,7.14267E-4,6.92233E-4,9.17151E-4,7.82695E-4,3.11198E-4,7.28815E-4,6.84832E-4,6.92E-4,5.96867E-4,8.83644E-4,2.69961E-4,2.11972E-4,1.7444E-4,2.0249E-4,1.04591E-4,9.2E-4,7.8E-4,7.8E-4,6.8E-4,7.0E-4,7.0E-4,7.0E-4,2.9E-4,8.774E-4,0.0013033
23,4.23768E-4,3.45962E-4,5.45365E-4,7.88193E-4,2.43898E-4,3.30313E-4,3.03626E-4,2.96E-4,0.00300286,0.001077982,7.46062E-4,7.31629E-4,9.24762E-4,7.91687E-4,3.22046E-4,7.40032E-4,7.04139E-4,6.97E-4,5.78876E-4,9.007E-4,2.76752E-4,2.17258E-4,1.8362E-4,1.88989E-4,1.07237E-4,9.2E-4,7.9E-4,7.9E-4,7.0E-4,7.0E-4,7.0E-4,7.0E-4,3.0E-4,8.933E-4,0.0013459
24,4.39474E-4,3.58945E-4,5.24499E-4,7.67376E-4,2.48443E-4,3.40246E-4,3.21295E-4,3.025E-4,0.002945241,0.001112039,7.81371E-4,7.74853E-4,9.25921E-4,7.97163E-4,3.34011E-4,7.47037E-4,7.20663E-4,6.952E-4,5.69242E-4,9.1831E-4,2.96989E-4,2.19901E-4,1.9046E-4,1.95747E-4,1.14731E-4,9.3E-4,8.0E-4,8.0E-4,7.2E-4,7.2E-4,7.0E-4,7.0E-4,3.2E-4,9.111E-4,0.0013928
25,4.57217E-4,3.73248E-4,5.13921E-4,7.60976E-4,2.57579E-4,3.56699E-4,3.42697E-4,3.133E-4,0.002845745,0.001149479,8.20412E-4,8.22629E-4,9.22326E-4,8.0063E-4,3.47797E-4,7.51936E-4,7.3581E-4,6.914E-4,5.73112E-4,9.36681E-4,3.03799E-4,2.2043E-4,1.9476E-4,1.95685E-4,1.26426E-4,9.3E-4,8.0E-4,8.0E-4,7.3E-4,7.4E-4,7.0E-4,7.0E-4,3.4E-4,9.31E-4,0.0014447
26,4.77003E-4,3.89678E-4,5.15589E-4,7.72439E-4,2.69022E-4,3.76676E-4,3.66533E-4,3.292E-4,0.002802711,0.001191141,8.63606E-4,8.75181E-4,9.16086E-4,8.03902E-4,3.63911E-4,7.55735E-4,7.50486E-4,6.913E-4,5.78529E-4,9.55817E-4,3.23964E-4,2.20429E-4,1.9738E-4,1.88998E-4,1.41082E-4,9.3E-4,8.0E-4,8.0E-4,7.5E-4,7.5E-4,7.0E-4,7.0E-4,3.6E-4,9.532E-4,0.0015019
27,4.9924E-4,4.0834E-4,5.15857E-4,7.81698E-4,2.79166E-4,3.95172E-4,3.92607E-4,3.514E-4,0.002746199,0.001237255,9.11379E-4,9.3314E-4,9.09119E-4,8.08093E-4,3.82859E-4,7.6025E-4,7.66204E-4,6.86E-4,5.95112E-4,9.75721E-4,3.30795E-4,2.20427E-4,1.9926E-4,1.89034E-4,1.55592E-4,9.3E-4,8.1E-4,8.1E-4,7.6E-4,7.7E-4,7.0E-4,7.0E-4,3.9E-4,9.781E-4,0.0015651
28,5.24034E-4,4.30045E-4,5.28765E-4,8.10155E-4,2.89879E-4,4.14785E-4,4.21326E-4,3.713E-4,0.002812277,0.001288359,9.64261E-4,9.96942E-4,9.03146E-4,8.1503E-4,4.05352E-4,7.67102E-4,7.83777E-4,6.885E-4,6.13762E-4,9.965E-4,3.37432E-4,2.25993E-4,2.016E-4,2.02525E-4,1.69509E-4,9.3E-4,8.2E-4,8.2E-4,7.8E-4,7.8E-4,7.0E-4,7.0E-4,4.2E-4,0.0010059,0.0016348
