runkey,groupofcontracts,type,maturityidentifier,rate
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,340M,0.005428867
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,341M,0.005439237
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,342M,0.005449005
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,343M,0.00545816
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,344M,0.0054667
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,345M,0.005474694
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,346M,0.005481938
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,347M,0.005488704
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,348M,0.005494726
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,349M,0.006937789
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,350M,0.007235693
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,351M,0.007533513
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,352M,0.00783138
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,353M,0.008129184
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,354M,0.008427007
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,355M,0.008724813
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,356M,0.009022634
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,357M,0.009320492
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,358M,0.009618226
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,359M,0.009916062
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,360M,0.010213768
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,361M,0.010500542
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,362M,0.010787368
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,363M,0.011074101
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,364M,0.011360883
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,365M,0.011647619
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,366M,0.011934353
