gender,age,value
Males,31,0.435709133943
Males,32,0.443571713697
Males,33,0.45143429345
Males,34,0.459296873204
Males,35,0.467159452958
Males,36,0.475022032712
Males,37,0.482884612466
Males,38,0.490747192219
Males,39,0.498609771973
Males,40,0.506472351727
Males,41,0.514334931481
Males,42,0.522197511234
Males,43,0.530060090988
Males,44,0.537922670742
Males,45,0.545785250496
Males,46,0.55364783025
Males,47,0.561510410003
Males,48,0.569372989757
Males,49,0.577235569511
Males,50,0.585098149265
Males,51,0.592960729018
Males,52,0.600823308772
Males,53,0.608685888526
Males,54,0.61654846828
Males,55,0.624411048033
Males,56,0.632273627787
Males,57,0.640136207541
Males,58,0.647998787295
Males,59,0.655861367049
Males,60,0.663723946802
Males,61,0.671586526556
Males,62,0.67944910631
Males,63,0.687311686064
Males,64,0.695174265817
Males,65,0.703036845571
Males,66,0.710899425325
Males,67,0.718762005079
Males,68,0.726624584833
Males,69,0.734487164586
Males,70,0.74234974434
Males,71,0.750212324094
Males,72,0.758074903848
Males,73,0.765937483601
Males,74,0.773800063355
Males,75,0.781662643109
Males,76,0.789525222863
Males,77,0.797387802617
Males,78,0.80525038237
Males,79,0.813112962124
Males,80,0.820975541878
Males,81,0.828838121632
Males,82,0.836700701385
Males,83,0.844563281139
Males,84,0.852425860893
Males,85,0.860288440647
Males,86,0.868151020401
Males,87,0.876013600154
Males,88,0.883876179908
Males,89,0.891738759662
Males,90,0.899601339416
Males,91,0.909641205474
Males,92,0.919681071533
Males,93,0.929720937591
Males,94,0.939760803649
Males,95,0.949800669708
Males,96,0.959840535766
Males,97,0.969880401825
Males,98,0.979920267883
Males,99,0.989960133942
Males,100,1.0
Males,101,1.0
Males,102,1.0
Males,103,1.0
Males,104,1.0
Males,105,1.0
Males,106,1.0
Males,107,1.0
Males,108,1.0
Males,109,1.0
Males,110,1.0
Males,111,1.0
Males,112,1.0
Males,113,1.0
Males,114,1.0
Males,115,1.0
Males,116,1.0
Males,117,1.0
Males,118,1.0
Males,119,1.0
Males,120,1.0
Males,121,1.0
