prodboomcd,policy_year,value
KOERSPLAN,49,0.8
KOERSPLAN,50,0.8
KOERSPLAN,51,0.8
KOERSPLAN,52,0.8
KOERSPLAN,53,0.8
KOERSPLAN,54,0.8
KOERSPLAN,55,0.8
KOERSPLAN,56,0.8
KOERSPLAN,57,0.8
KOERSPLAN,58,0.8
KOERSPLAN,59,0.8
KOERSPLAN,60,0.8
KOERSPLAN,61,0.8
KOERSPLAN,62,0.8
KOERSPLAN,63,0.8
KOERSPLAN,64,0.8
KOERSPLAN,65,0.8
KOERSPLAN,66,0.8
KOERSPLAN,67,0.8
KOERSPLAN,68,0.8
KOERSPLAN,69,0.8
KOERSPLAN,70,0.8
KOERSPLAN,71,0.8
KOERSPLAN,72,0.8
KOERSPLAN,73,0.8
KOERSPLAN,74,0.8
KOERSPLAN,75,0.8
KOERSPLAN,76,0.8
KOERSPLAN,77,0.8
KOERSPLAN,78,0.8
KOERSPLAN,79,0.8
KOERSPLAN,80,0.8
KOERSPLAN,81,0.8
KOERSPLAN,82,0.8
KOERSPLAN,83,0.8
KOERSPLAN,84,0.8
KOERSPLAN,85,0.8
KOERSPLAN,86,0.8
KOERSPLAN,87,0.8
KOERSPLAN,88,0.8
KOERSPLAN,89,0.8
KOERSPLAN,90,0.8
KOERSPLAN,91,0.8
KOERSPLAN,92,0.8
KOERSPLAN,93,0.8
KOERSPLAN,94,0.8
KOERSPLAN,95,0.8
KOERSPLAN,96,0.8
KOERSPLAN,97,0.8
KOERSPLAN,98,0.8
KOERSPLAN,99,0.8
KOERSPLAN,100,0.8
KOERSPLAN,101,0.8
KOERSPLAN,102,0.8
KOERSPLAN,103,0.8
KOERSPLAN,104,0.8
KOERSPLAN,105,0.8
KOERSPLAN,106,0.8
KOERSPLAN,107,0.8
KOERSPLAN,108,0.8
KOERSPLAN,109,0.8
KOERSPLAN,110,0.8
KOERSPLAN,111,0.8
KOERSPLAN,112,0.8
KOERSPLAN,113,0.8
KOERSPLAN,114,0.8
KOERSPLAN,115,0.8
KOERSPLAN,116,0.8
KOERSPLAN,117,0.8
KOERSPLAN,118,0.8
KOERSPLAN,119,0.8
KOERSPLAN,120,0.8
OR,0,0.0
OR,1,0.5
OR,2,0.5
OR,3,0.5
OR,4,0.5
OR,5,0.5
OR,6,0.5
OR,7,0.5
OR,8,0.5
OR,9,0.5
OR,10,0.5
OR,11,0.5
OR,12,0.5
OR,13,0.5
OR,14,0.5
OR,15,0.5
OR,16,0.5
OR,17,0.5
OR,18,0.5
OR,19,0.5
OR,20,0.5
OR,21,0.5
OR,22,0.5
OR,23,0.5
OR,24,0.5
OR,25,0.5
OR,26,0.5
OR,27,0.5
OR,28,0.5
OR,29,0.5
OR,30,0.5
OR,31,0.5
OR,32,0.5
OR,33,0.5
OR,34,0.5
OR,35,0.5
OR,36,0.5
OR,37,0.5
OR,38,0.5
OR,39,0.5
OR,40,0.5
OR,41,0.5
OR,42,0.5
OR,43,0.5
OR,44,0.5
OR,45,0.5
OR,46,0.5
OR,47,0.5
OR,48,0.5
OR,49,0.5
OR,50,0.5
OR,51,0.5
OR,52,0.5
OR,53,0.5
OR,54,0.5
OR,55,0.5
OR,56,0.5
OR,57,0.5
OR,58,0.5
OR,59,0.5
OR,60,0.5
OR,61,0.5
OR,62,0.5
OR,63,0.5
OR,64,0.5
OR,65,0.5
OR,66,0.5
OR,67,0.5
OR,68,0.5
OR,69,0.5
OR,70,0.5
OR,71,0.5
OR,72,0.5
OR,73,0.5
OR,74,0.5
OR,75,0.5
OR,76,0.5
OR,77,0.5
OR,78,0.5
OR,79,0.5
OR,80,0.5
OR,81,0.5
OR,82,0.5
OR,83,0.5
OR,84,0.5
OR,85,0.5
OR,86,0.5
OR,87,0.5
OR,88,0.5
OR,89,0.5
OR,90,0.5
OR,91,0.5
OR,92,0.5
OR,93,0.5
OR,94,0.5
OR,95,0.5
OR,96,0.5
OR,97,0.5
OR,98,0.5
OR,99,0.5
OR,100,0.5
OR,101,0.5
OR,102,0.5
OR,103,0.5
OR,104,0.5
OR,105,0.5
OR,106,0.5
OR,107,0.5
OR,108,0.5
OR,109,0.5
OR,110,0.5
OR,111,0.5
OR,112,0.5
OR,113,0.5
OR,114,0.5
OR,115,0.5
OR,116,0.5
OR,117,0.5
OR,118,0.5
OR,119,0.5
OR,120,0.5
PLUSFOND,0,0.0
PLUSFOND,1,0.8
PLUSFOND,2,0.8
PLUSFOND,3,0.8
PLUSFOND,4,0.8
PLUSFOND,5,0.8
PLUSFOND,6,0.8
PLUSFOND,7,0.8
PLUSFOND,8,0.8
PLUSFOND,9,0.8
PLUSFOND,10,0.8
PLUSFOND,11,0.8
PLUSFOND,12,0.8
PLUSFOND,13,0.8
PLUSFOND,14,0.8
PLUSFOND,15,0.8
PLUSFOND,16,0.8
PLUSFOND,17,0.8
PLUSFOND,18,0.8
PLUSFOND,19,0.8
PLUSFOND,20,0.8
PLUSFOND,21,0.8
PLUSFOND,22,0.8
PLUSFOND,23,0.8
PLUSFOND,24,0.8
PLUSFOND,25,0.8
PLUSFOND,26,0.8
PLUSFOND,27,0.8
PLUSFOND,28,0.8
PLUSFOND,29,0.8
PLUSFOND,30,0.8
PLUSFOND,31,0.8
PLUSFOND,32,0.8
PLUSFOND,33,0.8
PLUSFOND,34,0.8
PLUSFOND,35,0.8
PLUSFOND,36,0.8
PLUSFOND,37,0.8
PLUSFOND,38,0.8
PLUSFOND,39,0.8
PLUSFOND,40,0.8
PLUSFOND,41,0.8
PLUSFOND,42,0.8
PLUSFOND,43,0.8
PLUSFOND,44,0.8
PLUSFOND,45,0.8
PLUSFOND,46,0.8
PLUSFOND,47,0.8
PLUSFOND,48,0.8
PLUSFOND,49,0.8
PLUSFOND,50,0.8
PLUSFOND,51,0.8
PLUSFOND,52,0.8
PLUSFOND,53,0.8
PLUSFOND,54,0.8
PLUSFOND,55,0.8
PLUSFOND,56,0.8
PLUSFOND,57,0.8
PLUSFOND,58,0.8
PLUSFOND,59,0.8
PLUSFOND,60,0.8
PLUSFOND,61,0.8
PLUSFOND,62,0.8
PLUSFOND,63,0.8
PLUSFOND,64,0.8
PLUSFOND,65,0.8
PLUSFOND,66,0.8
PLUSFOND,67,0.8
PLUSFOND,68,0.8
PLUSFOND,69,0.8
PLUSFOND,70,0.8
PLUSFOND,71,0.8
PLUSFOND,72,0.8
PLUSFOND,73,0.8
PLUSFOND,74,0.8
PLUSFOND,75,0.8
PLUSFOND,76,0.8
PLUSFOND,77,0.8
PLUSFOND,78,0.8
PLUSFOND,79,0.8
PLUSFOND,80,0.8
PLUSFOND,81,0.8
PLUSFOND,82,0.8
PLUSFOND,83,0.8
PLUSFOND,84,0.8
PLUSFOND,85,0.8
PLUSFOND,86,0.8
PLUSFOND,87,0.8
PLUSFOND,88,0.8
PLUSFOND,89,0.8
PLUSFOND,90,0.8
PLUSFOND,91,0.8
PLUSFOND,92,0.8
PLUSFOND,93,0.8
PLUSFOND,94,0.8
PLUSFOND,95,0.8
PLUSFOND,96,0.8
PLUSFOND,97,0.8
PLUSFOND,98,0.8
PLUSFOND,99,0.8
PLUSFOND,100,0.8
PLUSFOND,101,0.8
PLUSFOND,102,0.8
PLUSFOND,103,0.8
PLUSFOND,104,0.8
PLUSFOND,105,0.8
PLUSFOND,106,0.8
PLUSFOND,107,0.8
PLUSFOND,108,0.8
PLUSFOND,109,0.8
PLUSFOND,110,0.8
PLUSFOND,111,0.8
PLUSFOND,112,0.8
PLUSFOND,113,0.8
PLUSFOND,114,0.8
PLUSFOND,115,0.8
PLUSFOND,116,0.8
PLUSFOND,117,0.8
PLUSFOND,118,0.8
PLUSFOND,119,0.8
PLUSFOND,120,0.8
SCHAKELSPAAR,0,0.0
SCHAKELSPAAR,1,0.8
SCHAKELSPAAR,2,0.8
SCHAKELSPAAR,3,0.8
SCHAKELSPAAR,4,0.8
SCHAKELSPAAR,5,0.8
SCHAKELSPAAR,6,0.8
SCHAKELSPAAR,7,0.8
SCHAKELSPAAR,8,0.8
SCHAKELSPAAR,9,0.8
SCHAKELSPAAR,10,0.8
SCHAKELSPAAR,11,0.8
SCHAKELSPAAR,12,0.8
SCHAKELSPAAR,13,0.8
SCHAKELSPAAR,14,0.8
SCHAKELSPAAR,15,0.8
SCHAKELSPAAR,16,0.8
SCHAKELSPAAR,17,0.8
SCHAKELSPAAR,18,0.8
SCHAKELSPAAR,19,0.8
SCHAKELSPAAR,20,0.8
SCHAKELSPAAR,21,0.8
SCHAKELSPAAR,22,0.8
SCHAKELSPAAR,23,0.8
SCHAKELSPAAR,24,0.8
SCHAKELSPAAR,25,0.8
SCHAKELSPAAR,26,0.8
SCHAKELSPAAR,27,0.8
SCHAKELSPAAR,28,0.8
SCHAKELSPAAR,29,0.8
SCHAKELSPAAR,30,0.8
SCHAKELSPAAR,31,0.8
SCHAKELSPAAR,32,0.8
SCHAKELSPAAR,33,0.8
SCHAKELSPAAR,34,0.8
SCHAKELSPAAR,35,0.8
SCHAKELSPAAR,36,0.8
SCHAKELSPAAR,37,0.8
SCHAKELSPAAR,38,0.8
SCHAKELSPAAR,39,0.8
SCHAKELSPAAR,40,0.8
SCHAKELSPAAR,41,0.8
SCHAKELSPAAR,42,0.8
SCHAKELSPAAR,43,0.8
SCHAKELSPAAR,44,0.8
SCHAKELSPAAR,45,0.8
SCHAKELSPAAR,46,0.8
SCHAKELSPAAR,47,0.8
SCHAKELSPAAR,48,0.8
SCHAKELSPAAR,49,0.8
SCHAKELSPAAR,50,0.8
SCHAKELSPAAR,51,0.8
SCHAKELSPAAR,52,0.8
SCHAKELSPAAR,53,0.8
SCHAKELSPAAR,54,0.8
SCHAKELSPAAR,55,0.8
SCHAKELSPAAR,56,0.8
SCHAKELSPAAR,57,0.8
SCHAKELSPAAR,58,0.8
SCHAKELSPAAR,59,0.8
SCHAKELSPAAR,60,0.8
SCHAKELSPAAR,61,0.8
SCHAKELSPAAR,62,0.8
SCHAKELSPAAR,63,0.8
SCHAKELSPAAR,64,0.8
SCHAKELSPAAR,65,0.8
SCHAKELSPAAR,66,0.8
SCHAKELSPAAR,67,0.8
SCHAKELSPAAR,68,0.8
SCHAKELSPAAR,69,0.8
SCHAKELSPAAR,70,0.8
SCHAKELSPAAR,71,0.8
SCHAKELSPAAR,72,0.8
SCHAKELSPAAR,73,0.8
SCHAKELSPAAR,74,0.8
SCHAKELSPAAR,75,0.8
SCHAKELSPAAR,76,0.8
SCHAKELSPAAR,77,0.8
SCHAKELSPAAR,78,0.8
SCHAKELSPAAR,79,0.8
SCHAKELSPAAR,80,0.8
SCHAKELSPAAR,81,0.8
SCHAKELSPAAR,82,0.8
SCHAKELSPAAR,83,0.8
SCHAKELSPAAR,84,0.8
SCHAKELSPAAR,85,0.8
SCHAKELSPAAR,86,0.8
SCHAKELSPAAR,87,0.8
SCHAKELSPAAR,88,0.8
SCHAKELSPAAR,89,0.8
SCHAKELSPAAR,90,0.8
SCHAKELSPAAR,91,0.8
SCHAKELSPAAR,92,0.8
SCHAKELSPAAR,93,0.8
SCHAKELSPAAR,94,0.8
SCHAKELSPAAR,95,0.8
SCHAKELSPAAR,96,0.8
SCHAKELSPAAR,97,0.8
SCHAKELSPAAR,98,0.8
SCHAKELSPAAR,99,0.8
SCHAKELSPAAR,100,0.8
SCHAKELSPAAR,101,0.8
SCHAKELSPAAR,102,0.8
SCHAKELSPAAR,103,0.8
SCHAKELSPAAR,104,0.8
SCHAKELSPAAR,105,0.8
SCHAKELSPAAR,106,0.8
SCHAKELSPAAR,107,0.8
SCHAKELSPAAR,108,0.8
SCHAKELSPAAR,109,0.8
SCHAKELSPAAR,110,0.8
SCHAKELSPAAR,111,0.8
