tarcd,year,value
AEGON_KINDERSPAARBEURS_PERSONEEL,1972,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1973,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1974,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1975,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1976,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1977,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1978,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1979,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1980,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1981,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1982,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1983,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1984,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1985,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1986,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1987,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1988,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1989,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1990,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1991,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1992,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1993,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1994,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1995,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1996,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1997,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1998,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1999,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2000,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2001,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2002,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2003,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2004,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2005,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2006,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2007,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2008,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2009,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2010,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2011,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2012,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2013,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2014,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2015,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2016,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2017,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2018,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2019,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2020,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2021,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2022,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2023,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2024,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2025,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2026,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2027,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2028,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2029,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2030,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2031,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2032,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2033,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2034,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2035,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2036,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2037,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2038,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2039,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2040,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2041,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2042,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2043,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2044,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2045,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2046,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2047,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2048,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2049,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2050,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2051,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2052,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2053,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2054,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2055,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2056,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2057,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2058,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2059,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2060,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2061,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2062,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2063,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2064,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2065,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2066,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2067,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2068,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2069,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2070,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2071,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2072,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2073,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2074,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2075,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2076,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2077,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2078,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2079,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2080,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2081,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2082,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2083,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2084,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2085,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2086,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2087,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2088,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2089,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2090,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2091,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2092,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2093,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2094,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2095,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2096,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2097,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2098,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2099,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2100,0
AEGON_KOERSPLAN,1950,0
AEGON_KOERSPLAN,1951,0
AEGON_KOERSPLAN,1952,0
AEGON_KOERSPLAN,1953,0
AEGON_KOERSPLAN,1954,0
AEGON_KOERSPLAN,1955,0
AEGON_KOERSPLAN,1956,0
AEGON_KOERSPLAN,1957,0
AEGON_KOERSPLAN,1958,0
AEGON_KOERSPLAN,1959,0
AEGON_KOERSPLAN,1960,0
AEGON_KOERSPLAN,1961,0
AEGON_KOERSPLAN,1962,0
AEGON_KOERSPLAN,1963,0
AEGON_KOERSPLAN,1964,0
AEGON_KOERSPLAN,1965,0
AEGON_KOERSPLAN,1966,0
AEGON_KOERSPLAN,1967,0
AEGON_KOERSPLAN,1968,0
AEGON_KOERSPLAN,1969,0
AEGON_KOERSPLAN,1970,0
AEGON_KOERSPLAN,1971,0
AEGON_KOERSPLAN,1972,0
AEGON_KOERSPLAN,1973,0
AEGON_KOERSPLAN,1974,0
AEGON_KOERSPLAN,1975,0
AEGON_KOERSPLAN,1976,0
AEGON_KOERSPLAN,1977,0
AEGON_KOERSPLAN,1978,0
AEGON_KOERSPLAN,1979,0
AEGON_KOERSPLAN,1980,0
AEGON_KOERSPLAN,1981,0
AEGON_KOERSPLAN,1982,0
AEGON_KOERSPLAN,1983,0
AEGON_KOERSPLAN,1984,0
AEGON_KOERSPLAN,1985,0
AEGON_KOERSPLAN,1986,0
AEGON_KOERSPLAN,1987,0
AEGON_KOERSPLAN,1988,0
AEGON_KOERSPLAN,1989,0
AEGON_KOERSPLAN,1990,0
AEGON_KOERSPLAN,1991,0
AEGON_KOERSPLAN,1992,0
AEGON_KOERSPLAN,1993,0
AEGON_KOERSPLAN,1994,0
AEGON_KOERSPLAN,1995,0
AEGON_KOERSPLAN,1996,0
AEGON_KOERSPLAN,1997,0
AEGON_KOERSPLAN,1998,0
AEGON_KOERSPLAN,1999,0
AEGON_KOERSPLAN,2000,0
AEGON_KOERSPLAN,2001,0
AEGON_KOERSPLAN,2002,0
AEGON_KOERSPLAN,2003,0
AEGON_KOERSPLAN,2004,0
AEGON_KOERSPLAN,2005,0
AEGON_KOERSPLAN,2006,0
AEGON_KOERSPLAN,2007,0
AEGON_KOERSPLAN,2008,0
AEGON_KOERSPLAN,2009,0
AEGON_KOERSPLAN,2010,0
AEGON_KOERSPLAN,2011,0
AEGON_KOERSPLAN,2012,0
AEGON_KOERSPLAN,2013,0
AEGON_KOERSPLAN,2014,0
AEGON_KOERSPLAN,2015,0
AEGON_KOERSPLAN,2016,0
AEGON_KOERSPLAN,2017,0
AEGON_KOERSPLAN,2018,0
AEGON_KOERSPLAN,2019,0
AEGON_KOERSPLAN,2020,0
AEGON_KOERSPLAN,2021,0
AEGON_KOERSPLAN,2022,0
AEGON_KOERSPLAN,2023,0
AEGON_KOERSPLAN,2024,0
AEGON_KOERSPLAN,2025,0
AEGON_KOERSPLAN,2026,0
AEGON_KOERSPLAN,2027,0
AEGON_KOERSPLAN,2028,0
AEGON_KOERSPLAN,2029,0
AEGON_KOERSPLAN,2030,0
AEGON_KOERSPLAN,2031,0
AEGON_KOERSPLAN,2032,0
AEGON_KOERSPLAN,2033,0
AEGON_KOERSPLAN,2034,0
AEGON_KOERSPLAN,2035,0
AEGON_KOERSPLAN,2036,0
AEGON_KOERSPLAN,2037,0
AEGON_KOERSPLAN,2038,0
AEGON_KOERSPLAN,2039,0
AEGON_KOERSPLAN,2040,0
AEGON_KOERSPLAN,2041,0
AEGON_KOERSPLAN,2042,0
AEGON_KOERSPLAN,2043,0
AEGON_KOERSPLAN,2044,0
AEGON_KOERSPLAN,2045,0
AEGON_KOERSPLAN,2046,0
AEGON_KOERSPLAN,2047,0
AEGON_KOERSPLAN,2048,0
AEGON_KOERSPLAN,2049,0
AEGON_KOERSPLAN,2050,0
AEGON_KOERSPLAN,2051,0
AEGON_KOERSPLAN,2052,0
AEGON_KOERSPLAN,2053,0
AEGON_KOERSPLAN,2054,0
AEGON_KOERSPLAN,2055,0
AEGON_KOERSPLAN,2056,0
AEGON_KOERSPLAN,2057,0
AEGON_KOERSPLAN,2058,0
AEGON_KOERSPLAN,2059,0
AEGON_KOERSPLAN,2060,0
AEGON_KOERSPLAN,2061,0
AEGON_KOERSPLAN,2062,0
AEGON_KOERSPLAN,2063,0
AEGON_KOERSPLAN,2064,0
AEGON_KOERSPLAN,2065,0
AEGON_KOERSPLAN,2066,0
AEGON_KOERSPLAN,2067,0
AEGON_KOERSPLAN,2068,0
AEGON_KOERSPLAN,2069,0
AEGON_KOERSPLAN,2070,0
AEGON_KOERSPLAN,2071,0
AEGON_KOERSPLAN,2072,0
AEGON_KOERSPLAN,2073,0
AEGON_KOERSPLAN,2074,0
AEGON_KOERSPLAN,2075,0
AEGON_KOERSPLAN,2076,0
AEGON_KOERSPLAN,2077,0
AEGON_KOERSPLAN,2078,0
AEGON_KOERSPLAN,2079,0
AEGON_KOERSPLAN,2080,0
AEGON_KOERSPLAN,2081,0
AEGON_KOERSPLAN,2082,0
AEGON_KOERSPLAN,2083,0
AEGON_KOERSPLAN,2084,0
AEGON_KOERSPLAN,2085,0
AEGON_KOERSPLAN,2086,0
AEGON_KOERSPLAN,2087,0
AEGON_KOERSPLAN,2088,0
AEGON_KOERSPLAN,2089,0
AEGON_KOERSPLAN,2090,0
AEGON_KOERSPLAN,2091,0
AEGON_KOERSPLAN,2092,0
AEGON_KOERSPLAN,2093,0
AEGON_KOERSPLAN,2094,0
AEGON_KOERSPLAN,2095,0
AEGON_KOERSPLAN,2096,0
AEGON_KOERSPLAN,2097,0
AEGON_KOERSPLAN,2098,0
AEGON_KOERSPLAN,2099,0
AEGON_KOERSPLAN,2100,0
AEGON_PENSIOENBEURS,1950,0
AEGON_PENSIOENBEURS,1951,0
AEGON_PENSIOENBEURS,1952,0
AEGON_PENSIOENBEURS,1953,0
AEGON_PENSIOENBEURS,1954,0
AEGON_PENSIOENBEURS,1955,0
AEGON_PENSIOENBEURS,1956,0
AEGON_PENSIOENBEURS,1957,0
AEGON_PENSIOENBEURS,1958,0
AEGON_PENSIOENBEURS,1959,0
AEGON_PENSIOENBEURS,1960,0
AEGON_PENSIOENBEURS,1961,0
AEGON_PENSIOENBEURS,1962,0
