runkey,scenarioname,type,maturityidentifier,rate,sortcol
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,94M,0.027741902339,94
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,95M,0.027809596766,95
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,96M,0.027881413402,96
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,97M,0.027953129633,97
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,98M,0.028020743678,98
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,99M,0.028086492194,99
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,100M,0.028150356794,100
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,101M,0.028212318887,101
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,102M,0.028272359676,102
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,103M,0.028330460159,103
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,104M,0.028386601131,104
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,105M,0.028440763187,105
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,106M,0.028492926721,106
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,107M,0.028543071931,107
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,108M,0.028591178817,108
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,109M,0.028735235582,109
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,110M,0.028943725951,110
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,111M,0.029102508642,111
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,112M,0.029211085194,112
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,113M,0.029268955917,113
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,114M,0.029275622108,114
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,115M,0.029230588359,115
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,116M,0.029133364918,116
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,117M,0.028983470143,117
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,118M,0.02878043302,118
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,119M,0.028523795752,119
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,120M,0.028213116416,120
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,121M,0.027696200507,121
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,122M,0.02710290148,122
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,123M,0.026650814652,123
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,124M,0.026341069605,124
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,125M,0.026174816219,125
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,126M,0.026153242527,126
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,127M,0.026277593066,127
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,128M,0.026549187798,128
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,129M,0.026969441645,129
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,130M,0.027539884714,130
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,131M,0.028262183318,131
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,132M,0.029138161887,132
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,133M,0.030095683408,133
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,134M,0.030945838274,134
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,135M,0.03166668575,135
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,136M,0.032256710189,136
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,137M,0.032714363962,137
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,138M,0.033038082133,138
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,139M,0.03322629776,139
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,140M,0.033277457823,140
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,141M,0.033190039802,141
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,142M,0.032962568848,142
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,143M,0.03259363556,143
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,144M,0.032081914296,144
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,145M,0.031790168918,145
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,146M,0.031792042585,146
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,147M,0.031760450113,147
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,148M,0.03169504602,148
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,149M,0.031595487274,149
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,150M,0.031461434351,150
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,151M,0.031292552334,151
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,152M,0.031088512045,152
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,153M,0.030848991205,153
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,154M,0.030573675631,154
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,155M,0.030262260463,155
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,156M,0.029914451416,156
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,157M,0.029592397604,157
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,158M,0.029323231567,158
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,159M,0.029058213085,159
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,160M,0.028797405,160
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,161M,0.02854086957,161
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,162M,0.028288668467,162
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,163M,0.028040862776,163
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,164M,0.027797513002,164
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,165M,0.027558679065,165
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,166M,0.027324420309,166
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,167M,0.027094795506,167
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,168M,0.026869862858,168
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,169M,0.026607043985,169
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,170M,0.026312367426,170
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,171M,0.026031566207,171
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,172M,0.025764775634,172
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,173M,0.02551212903,173
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,174M,0.025273757872,174
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,175M,0.025049791938,175
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,176M,0.024840359455,176
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,177M,0.024645587257,177
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,178M,0.024465600948,178
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,179M,0.024300525066,179
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,180M,0.024150483257,180
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,181M,0.023956246622,181
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,182M,0.023715621552,182
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,183M,0.023486904804,183
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,184M,0.023270199132,184
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,185M,0.023065605927,185
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,186M,0.022873225327,186
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,187M,0.022693156325,187
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,188M,0.022525496881,188
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,189M,0.02237034404,189
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,190M,0.022227794052,190
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,191M,0.022097942495,191
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,192M,0.021980884402,192
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,193M,0.021790978528,193
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,194M,0.021539184325,194
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,195M,0.021316841092,195
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,196M,0.021124154529,196
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,197M,0.020961328665,197
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,198M,0.020828566595,198
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,199M,0.020726071239,199
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,200M,0.020654046112,200
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,201M,0.020612696119,201
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,202M,0.020602228363,202
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,203M,0.020622852973,203
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,204M,0.020674783956,204
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,205M,0.020672850635,205
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,206M,0.020602161935,206
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,207M,0.020540653512,207
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,208M,0.020488388299,208
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,209M,0.020445429309,209
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,210M,0.020411839705,210
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,211M,0.020387682879,211
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,212M,0.020373022525,212
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,213M,0.020367922718,213
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,214M,0.020372447994,214
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,215M,0.020386663432,215
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,216M,0.020410634737,216
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,217M,0.020389226661,217
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,218M,0.020328024523,218
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,219M,0.020285096225,219
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,220M,0.020260563601,220
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,221M,0.02025454948,221
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,222M,0.020267177976,222
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,223M,0.020298574804,223
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,224M,0.020348867584,224
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,225M,0.020418186165,225
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,226M,0.020506662952,226
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,227M,0.02061443324,227
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,228M,0.020741635559,228
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,229M,0.021062867088,229
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,230M,0.021488438139,230
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,231M,0.021798291062,231
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,232M,0.021991509068,232
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,233M,0.022067186802,233
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,234M,0.022024442295,234
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,235M,0.021862429218,235
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,236M,0.021580349419,236
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,237M,0.021177465721,237
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,238M,0.020653114929,238
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,239M,0.020006721026,239
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,240M,0.019237808484,240
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,241M,0.018408776287,241
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,242M,0.017671024471,242
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,243M,0.017037973209,243
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,244M,0.016510134018,244
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,245M,0.016088001766,245
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,246M,0.015772064044,246
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,247M,0.015562810678,247
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,248M,0.015460743391,248
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,249M,0.015466385619,249
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,250M,0.015580292494,250
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,251M,0.015803061014,251
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,252M,0.016135340424,252
