table_name,prodboomcd,projection_year,value
mort_shock_dn_p_sens,AORV_Type2_KBL_b,4,-0.02293
mort_shock_dn_p_sens,AORV_Type2_KBL_b,3,-0.02293
mort_shock_dn_p_sens,AORV_Type2_KBL_b,2,-0.02293
mort_shock_dn_p_sens,AORV_Type2_KBL_b,1,-0.29827
mort_shock_dn_p_sens,AORV_Type2_KBL_b,0,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,11,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,10,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,9,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,8,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,7,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,6,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,5,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,4,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,3,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,2,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,1,0.0
mort_shock_dn_p_sens,AORV_Type2_KBL_a,0,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,11,-0.02293
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,10,-0.02293
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,9,-0.02293
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,8,-0.02293
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,7,-0.02293
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,6,-0.02293
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,5,-0.02293
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,4,-0.02293
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,3,-0.02293
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,2,-0.02293
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,1,-0.29827
mort_shock_dn_p_sens,AORV_Type1_LIJF_b,0,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,11,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,10,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,9,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,8,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,7,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,6,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,5,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,4,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,3,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,2,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,1,0.0
mort_shock_dn_p_sens,AORV_Type1_LIJF_a,0,0.0
mort_shock_dn_p_sens,AORV_Type1_KBO_b,11,-0.03194
mort_shock_dn_p_sens,AORV_Type1_KBO_b,10,-0.03194
mort_shock_dn_p_sens,AORV_Type1_KBO_b,9,-0.03194
mort_shock_dn_p_sens,AORV_Type1_KBO_b,8,-0.03194
