RunName,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0047_2023M03_Base-GH_IFRS_MtD_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noUFR_noCRA_noOCS,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
0048_2023M03_Base-GH_IFRS_MtD_RollfwdDI_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noUFR_noCRA_noOCS,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
0049_2023M03_Base-GH_IFRS_MtD_RollfwdDI_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noCRA_noOCS,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
0050_2023M03_Base-GH_IFRS_MtD_RollfwdDI_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noOCS,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
0051_2023M03_Base-GH_IFRS_MtD_RollfwdDI-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_Base,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
0052_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_Curve-IFRS_MtD_EndValue-IFRS_MtD_Base,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
0053_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_SWPT-IFRS_MtD_EndValue-IFRS_MtD_Base,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
0054_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_Base,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
0055_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_SwapHedged,60.84,20.00864697,35.63386017,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
0056_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_SwapUnhedged,60.84,20.00864697,35.65698832,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
0057_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_GovernmentSpread,60.84,20.08757866,35.68566983,40.51,9.87,26.46,22.91,9.87,1,1,1,26.46,33.93,1,1,1,1,1,1,1,1,22.14,18.54,9.87,14.36,14.36,1,1,1,1,1,1,1,1,1,1,1,1,1
