prodboomcd,policy_year,value
AEGON_SPAARBEURS_tussenpersoon,6,0.529724104
AEGON_SPAARBEURS_tussenpersoon,7,0.588899853
AEGON_SPAARBEURS_tussenpersoon,8,0.654686155
AEGON_SPAARBEURS_tussenpersoon,9,0.727821478
AEGON_SPAARBEURS_tussenpersoon,10,0.809126785
AEGON_SPAARBEURS_tussenpersoon,11,0.89951475
AEGON_SPAARBEURS_tussenpersoon,12,1.0
AEGON_SPAARBEURS_tussenpersoon,13,1.111710508
AEGON_SPAARBEURS_tussenpersoon,14,1.235900255
AEGON_SPAARBEURS_tussenpersoon,15,1.3739633
AEGON_SPAARBEURS_tussenpersoon,16,1.527449439
AEGON_SPAARBEURS_tussenpersoon,17,1.698081593
AEGON_SPAARBEURS_tussenpersoon,18,1.887775151
AEGON_SPAARBEURS_tussenpersoon,19,2.098659472
AEGON_SPAARBEURS_tussenpersoon,20,2.333101789
AEGON_SPAARBEURS_tussenpersoon,21,2.88639551
AEGON_SPAARBEURS_tussenpersoon,22,2.88639551
AEGON_SPAARBEURS_tussenpersoon,23,2.88639551
AEGON_SPAARBEURS_tussenpersoon,24,2.88639551
AEGON_SPAARBEURS_tussenpersoon,25,2.88639551
AEGON_SPAARBEURS_tussenpersoon,26,2.88639551
AEGON_SPAARBEURS_tussenpersoon,27,2.88639551
AEGON_SPAARBEURS_tussenpersoon,28,2.88639551
AEGON_SPAARBEURS_tussenpersoon,29,2.88639551
AEGON_SPAARBEURS_tussenpersoon,30,2.88639551
AEGON_SPAARBEURS_tussenpersoon,31,2.88639551
AEGON_SPAARBEURS_tussenpersoon,32,2.88639551
AEGON_SPAARBEURS_tussenpersoon,33,2.88639551
AEGON_SPAARBEURS_tussenpersoon,34,2.88639551
AEGON_SPAARBEURS_tussenpersoon,35,2.88639551
AEGON_SPAARBEURS_tussenpersoon,36,2.88639551
AEGON_SPAARBEURS_tussenpersoon,37,2.88639551
AEGON_SPAARBEURS_tussenpersoon,38,2.88639551
AEGON_SPAARBEURS_tussenpersoon,39,2.88639551
AEGON_SPAARBEURS_tussenpersoon,40,2.88639551
AEGON_SPAARBEURS_tussenpersoon,41,2.88639551
AFP,0,0.040719222
AFP,1,0.38263101
AFP,2,0.346803037
AFP,3,0.38554458
AFP,4,0.428613961
AFP,5,0.476494645
AFP,6,0.529724104
AFP,7,0.588899853
AFP,8,0.654686155
AFP,9,0.727821478
AFP,10,0.809126785
AFP,11,0.89951475
AFP,12,1.0
AFP,13,1.111710508
AFP,14,1.235900255
AFP,15,1.3739633
AFP,16,1.527449439
AFP,17,1.698081593
AFP,18,1.887775151
AFP,19,2.098659472
AFP,20,2.333101789
AFP,21,2.88639551
AFP,22,2.88639551
AFP,23,2.88639551
AFP,24,2.88639551
AFP,25,2.88639551
AFP,26,2.88639551
AFP,27,2.88639551
AFP,28,2.88639551
AFP,29,2.88639551
AFP,30,2.88639551
AFP,31,2.88639551
AFP,32,2.88639551
AFP,33,2.88639551
AFP,34,2.88639551
AFP,35,2.88639551
AFP,36,2.88639551
AFP,37,2.88639551
AFP,38,2.88639551
AFP,39,2.88639551
AFP,40,2.88639551
AFP,41,2.88639551
ALH,0,1.0
ALH,1,1.0
ALH,2,1.0
ALH,3,1.0
ALH,4,1.0
ALH,5,0.892648692
ALH,6,0.952580186
ALH,7,1.016535418
ALH,8,1.084784536
ALH,9,1.157615829
ALH,10,1.235336938
ALH,11,1.318276161
ALH,12,1.406783836
ALH,13,1.501233823
ALH,14,1.602025083
ALH,15,1.709583362
ALH,16,1.824362991
ALH,17,1.946848804
ALH,18,2.077558185
ALH,19,2.217043256
ALH,20,2.365893208
ALH,21,2.52473679
ALH,22,2.694244963
ALH,23,2.875133736
ALH,24,3.068167191
ALH,25,3.274160709
ALH,26,3.493984415
ALH,27,3.728566854
ALH,28,3.978898911
ALH,29,4.246037999
ALH,30,4.531112525
ALH,31,4.531112525
ALH,32,4.531112525
ALH,33,4.531112525
ALH,34,4.531112525
ALH,35,4.531112525
ALH,36,4.531112525
ALH,37,4.531112525
ALH,38,4.531112525
ALH,39,4.531112525
ALH,40,4.531112525
ALH,41,4.531112525
ALIMENTATIE,0,0.0
ALIMENTATIE,1,0.0
ALIMENTATIE,2,0.0
ALIMENTATIE,3,0.0
ALIMENTATIE,4,0.0
ALIMENTATIE,5,0.0
ALIMENTATIE,6,0.0
ALIMENTATIE,7,0.0
ALIMENTATIE,8,0.0
ALIMENTATIE,9,0.0
ALIMENTATIE,10,0.0
ALIMENTATIE,11,0.0
ALIMENTATIE,12,0.0
ALIMENTATIE,13,0.0
ALIMENTATIE,14,0.0
ALIMENTATIE,15,0.0
ALIMENTATIE,16,0.0
ALIMENTATIE,17,0.0
ALIMENTATIE,18,0.0
ALIMENTATIE,19,0.0
ALIMENTATIE,20,0.0
ALIMENTATIE,21,0.0
ALIMENTATIE,22,0.0
ALIMENTATIE,23,0.0
ALIMENTATIE,24,0.0
ALIMENTATIE,25,0.0
ALIMENTATIE,26,0.0
ALIMENTATIE,27,0.0
ALIMENTATIE,28,0.0
ALIMENTATIE,29,0.0
ALIMENTATIE,30,0.0
ALIMENTATIE,31,0.0
ALIMENTATIE,32,0.0
ALIMENTATIE,33,0.0
ALIMENTATIE,34,0.0
ALIMENTATIE,35,0.0
ALIMENTATIE,36,0.0
ALIMENTATIE,37,0.0
ALIMENTATIE,38,0.0
ALIMENTATIE,39,0.0
ALIMENTATIE,40,0.0
ALIMENTATIE,41,0.0
AORV_Type1,0,1.0
AORV_Type1,1,1.0
AORV_Type1,2,0.715275691
AORV_Type1,3,0.566843645
AORV_Type1,4,0.44921381
AORV_Type1,5,0.355994195
