jobid,modelid,modulename,moduleversion,date,runkey,scenarioname,type,maturity,maturityidentifier,rate
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,53.0,53Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,52.0,52Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,51.0,51Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,50.0,50Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,49.0,49Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,48.0,48Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,47.0,47Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,46.0,46Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,45.0,45Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,44.0,44Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,43.0,43Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,42.0,42Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,41.0,41Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,40.0,40Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,39.0,39Y,0.0304844801263
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,38.0,38Y,0.0307243254989
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,37.0,37Y,0.0309639029726
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,36.0,36Y,0.0312008091181
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,35.0,35Y,0.0314364063402
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,34.0,34Y,0.0317395514794
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,33.0,33Y,0.0320418361272
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,32.0,32Y,0.0323452725869
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,31.0,31Y,0.0326467974462
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,30.0,30Y,0.0329486851804
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,29.0,29Y,0.0332863034255
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,28.0,28Y,0.0336462762859
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,27.0,27Y,0.0340192805362
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,26.0,26Y,0.0344081855505
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,25.0,25Y,0.034813526843
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,24.0,24Y,0.0352305589025
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,23.0,23Y,0.0356563656237
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,22.0,22Y,0.036109002774
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,21.0,21Y,0.0365484758675
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,20.0,20Y,0.0370093609516
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,19.0,19Y,0.0370041183519
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,18.0,18Y,0.036998293241
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,17.0,17Y,0.036991782823
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,16.0,16Y,0.0369844586028
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,15.0,15Y,0.0369761578198
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,14.0,14Y,0.0369666712107
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,13.0,13Y,0.0369557251233
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,12.0,12Y,0.036942954688
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,11.0,11Y,0.0369278623554
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,10.0,10Y,0.0369097515562
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,9.0,9Y,0.0368876161351
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,8.0,8Y,0.0368599468586
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,7.0,7Y,0.0368243720745
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,6.0,6Y,0.0367769390291
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,5.0,5Y,0.0367105327655
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,4.0,4Y,0.0366109233701
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,3.0,3Y,0.0364449077112
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,2.0,2Y,0.0361128763933
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,1.0,1Y,0.0351167824399
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,60.0,60Y,0.0119948188774
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,72.0,72Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,59.0,59Y,0.0118775999359
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,71.0,71Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,58.0,58Y,0.0117631224686
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,70.0,70Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,57.0,57Y,0.0116486755155
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,69.0,69Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,56.0,56Y,0.0115350053021
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,68.0,68Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,55.0,55Y,0.0114230073384
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,67.0,67Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,54.0,54Y,0.0113116643534
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,66.0,66Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,53.0,53Y,0.0112016669569
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,65.0,65Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,52.0,52Y,0.0110948782271
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,64.0,64Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,51.0,51Y,0.0109886392147
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,63.0,63Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,50.0,50Y,0.0108840393361
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,62.0,62Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,49.0,49Y,0.0107081744049
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,61.0,61Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,48.0,48Y,0.0105314784872
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,60.0,60Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,47.0,47Y,0.0103591883787
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,59.0,59Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,46.0,46Y,0.0101868323664
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,58.0,58Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,45.0,45Y,0.0100158523093
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,57.0,57Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,44.0,44Y,0.009792169071
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,56.0,56Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,43.0,43Y,0.0095693450809
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,55.0,55Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,42.0,42Y,0.0093473971128
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,54.0,54Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,41.0,41Y,0.0091256170958
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,53.0,53Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,40.0,40Y,0.0089094394868
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,52.0,52Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,39.0,39Y,0.0089094394868
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,51.0,51Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,38.0,38Y,0.0089094394868
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,50.0,50Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,37.0,37Y,0.0089094394868
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,49.0,49Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,36.0,36Y,0.0089094394868
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,48.0,48Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,35.0,35Y,0.0089094394868
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,47.0,47Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,34.0,34Y,0.0089094394868
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,46.0,46Y,0.0344601661323
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Spread,spot,33.0,33Y,0.0089094394868
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Flat,spot,45.0,45Y,0.0344601661323
