fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
94,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
95,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
96,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
97,ASNDuurzaamAandelenfonds,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
98,TriodosSustainableMixedFund,01/01/2023,1.0,0,0,1,0,0,1.0,1.0,1.0
99,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
100,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
101,UNIBAIL-RODAMCO,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
102,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
103,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
104,AEGONRenteFund,01/01/2023,1.0,1,2,0,0,1,1.0,1.0,1.0
105,AEGONMixFund,01/01/2023,1.0,1,2,1,0,1,1.0,1.0,1.0
106,OptimixAmericaFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
107,OptimixEuropeFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
108,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
109,InsingerMultiManagerEquityC,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
110,InsingerMultiManagerBalancedC,01/01/2023,1.0,0,0,1,0,0,1.0,1.0,1.0
111,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
112,ComfortMixFund(=AEGONMixFund),01/01/2023,1.0,0,0,1,0,1,1.0,1.0,1.0
113,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
114,ComfortAandelenFund(=AEGONEquityFund),01/01/2023,1.0,0,0,2,0,1,1.0,1.0,1.0
115,DeltaLloydL-GlobalFund-A,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
116,DeltaLloydL-CyrteGlobalFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
117,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
118,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
119,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
120,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
121,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
122,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
123,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
124,HOFHoornemanEuropeanValueFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
125,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
126,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
127,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
128,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
129,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
130,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
131,RobecoUSLargeCapEQ-DH,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
132,AllianzEuropaAandelenFonds,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
133,RobecoCAPSAMSustainableEuropeanEquities,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
134,AEGONVastgoedFundInternationaal,01/01/2023,1.0,0,0,2,0,1,1.0,1.0,1.0
135,KONINKLIJKEPHILIPS,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
136,Ageas,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
137,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
138,AEGONEquityFund,01/01/2023,1.0,0,0,2,0,1,1.0,1.0,1.0
139,AEGONRenteFund,01/01/2023,1.0,0,0,0,0,1,1.0,1.0,1.0
140,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
141,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
142,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
143,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
144,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
145,AEGONDepositoFund,01/01/2023,1.0,0,0,0,0,1,1.0,1.0,1.0
146,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
147,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
148,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
149,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
150,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
151,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
152,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
153,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
154,RobecoHighYieldBondsB€,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
155,RobecoEmergingMarketsEquitiesD€,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
156,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
157,ComfortRenteFonds(=AEGONRenteFund),01/01/2023,1.0,0,0,0,0,1,1.0,1.0,1.0
158,AEGONRenteFund,01/01/2023,1.0,0,0,0,0,1,1.0,1.0,1.0
159,AEGONMixFund,01/01/2023,1.0,0,0,1,0,1,1.0,1.0,1.0
160,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
161,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
162,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
163,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
164,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
165,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
166,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
167,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
168,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
169,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
170,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
171,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
172,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
173,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
