framework,scenario,asset_class,shockfactor
SII_PIM with VA,R1_4,Rente,1.05059329
SII_PIM with VA,R1_3,Rente,1.09685276
SII_PIM with VA,R1_2,Rente,1.16056277
SII_PIM with VA,R1_1,Rente,1.20639881
SII_PIM with VA,IR2_6,Rente,1
SII_PIM with VA,IR2_4,Rente,1
SII_PIM with VA,IR2_3,Rente,1
SII_PIM with VA,IR2_1,Rente,1
SII_PIM with VA,equity (+25%),Rente,1
SII_PIM with VA,equity  (-25%),Rente,1
SII_PIM with VA,IR2_EQ_EM_PE 40dn,Rente,1
SII_PIM with VA,IR2_EQ_EM_PE 20up,Rente,1
SII_PIM with VA,IR2_EQ_EM_PE 20dn,Rente,1
SII_PIM with VA,MR1_200dn,Rente,1.15379166
SII_PIM with VA,MR1_200up,Rente,0.84987232
SII_PIM with VA,MR1_100dn,Rente,1.07643068
SII_PIM with VA,MR1_100up,Rente,0.92448525
SII_PIM with VA,IR2_EQ_EM_PE 10up,Rente,1
SII_PIM with VA,IR2_EQ_EM_PE 10dn,Rente,1
SII_PIM with VA,IR3 SF scope (nonAPR),Rente,1
SII_PIM with VA,IR2_Type2_up,Rente,1
SII_PIM with VA,IR2_up,Rente,1
SII_PIM with VA,IR2_Type2_dn,Rente,1
SII_PIM with VA,IR2_dn,Rente,1
SII_PIM with VA,IR1,Rente,0.98035297
SII_PIM with VA,PC3-,Rente,0.99821137
SII_PIM with VA,PC2-,Rente,0.95738151
SII_PIM with VA,PC1-,Rente,1.13819788
SII_PIM with VA,PC3+,Rente,1.00124316
SII_PIM with VA,PC2+,Rente,1.04014896
SII_PIM with VA,PC1+,Rente,0.85549608
SII_SF with VA,MR3,Rente,1
SII_SF with VA,IR3,Rente,1
SII_SF with VA,IR2_Type2_up,Rente,1
SII_SF with VA,IR2_up,Rente,1
SII_SF with VA,IR2_Type2_dn,Rente,1
SII_SF with VA,IR2_dn,Rente,1
SII_SF with VA,IR1,Rente,1
SII_SF with VA,MR1_DN,Rente,1.08359407
SII_SF with VA,MR1_UP,Rente,0.89819129
EF,+100bp,Rente,0.92448525
EF,-100bp,Rente,1.07643068
EF,IR3,Rente,1
EF,IR2,Rente,1
EF,PC3-,Rente,0.99821137
EF,PC2-,Rente,0.95738151
EF,PC1-,Rente,1.13819788
EF,PC3+,Rente,1.00124316
EF,PC2+,Rente,1.04014896
EF,PC1+,Rente,0.85549608
IFRS17,DU_nonFI_25up,Rente,1
IFRS17,DU_nonFI_10up,Rente,1
IFRS17,DU_nonFI_10dn,Rente,1
IFRS17,DU_nonFI_25dn,Rente,1
IFRS17,+100bp incl UFR,Rente,0.92448525
IFRS17,-100bp incl UFR,Rente,1.07643068
IFRS17,-200bp incl UFR,Rente,1.15379166
LAT/IFRS,DU_FI_mortgagespread_50up,Rente,1
LAT/IFRS,DU_FI_mortgagespread_50dn,Rente,1
LAT/IFRS,DU_FI_bondcreditspread_50up,Rente,0.96212902
LAT/IFRS,DU_FI_bondcreditspread_50dn,Rente,1.03809996
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_25up,Rente,1
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_10up,Rente,1
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_10dn,Rente,1
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_25dn,Rente,1
LAT/IFRS,Currency_USD_15dn,Rente,1
LAT/IFRS,Currency_USD_15up,Rente,1
LAT/IFRS,Currency_EUR_15dn,Rente,1
LAT/IFRS,Currency_EUR_15up,Rente,1
LAT/IFRS,-200bp incl UFR,Rente,1.15379166
LAT/IFRS,-100bp incl UFR,Rente,1.07643068
LAT/IFRS,+100bp incl UFR,Rente,0.92448525
LAT/IFRS,-200bp excl UFR,Rente,1.15379166
LAT/IFRS,-100bp excl UFR,Rente,1.07643068
LAT/IFRS,+100bp excl UFR,Rente,0.92448525
SII_PIM with VA,OoS_2,Mix,0.9767139
SII_PIM with VA,OoS_1,Mix,1.01821108
SII_PIM with VA,R2-UR3P-8,Mix,1.01268619
SII_PIM with VA,R2-UR3P-7,Mix,1.01268619
SII_PIM with VA,R2-UR3P-6,Mix,1.00864249
SII_PIM with VA,R2-UR3P-5,Mix,1.00864249
SII_PIM with VA,R2-UR3P-4,Mix,0.99104076
SII_PIM with VA,R2-UR3P-3,Mix,0.99104076
SII_PIM with VA,R2-UR3P-2,Mix,0.98640105
SII_PIM with VA,R2-UR3P-1,Mix,0.98640105
SII_PIM with VA,R1-UR3P-8,Mix,0.94503597
SII_PIM with VA,R1-UR3P-7,Mix,0.94503597
SII_PIM with VA,R1-UR3P-6,Mix,0.96442959
SII_PIM with VA,R1-UR3P-5,Mix,0.96442959
SII_PIM with VA,R1-UR3P-4,Mix,1.03661854
SII_PIM with VA,R1-UR3P-3,Mix,1.03661854
SII_PIM with VA,R1-UR3P-2,Mix,1.05217464
SII_PIM with VA,R1-UR3P-1,Mix,1.05217464
SII_PIM with VA,R2-UR3C-8,Mix,1.01268619
SII_PIM with VA,R2-UR3C-7,Mix,1.01268619
SII_PIM with VA,R2-UR3C-6,Mix,1.00864249
SII_PIM with VA,R2-UR3C-5,Mix,1.00864249
SII_PIM with VA,R2-UR3C-4,Mix,0.99104076
SII_PIM with VA,R2-UR3C-3,Mix,0.99104076
SII_PIM with VA,R2-UR3C-2,Mix,0.98640105
SII_PIM with VA,R2-UR3C-1,Mix,0.98640105
SII_PIM with VA,R1-UR3C-8,Mix,0.94503597
SII_PIM with VA,R1-UR3C-7,Mix,0.94503597
SII_PIM with VA,R1-UR3C-6,Mix,0.96442959
SII_PIM with VA,R1-UR3C-5,Mix,0.96442959
SII_PIM with VA,R1-UR3C-4,Mix,1.03661854
SII_PIM with VA,R1-UR3C-3,Mix,1.03661854
SII_PIM with VA,R1-UR3C-2,Mix,1.05217464
SII_PIM with VA,R1-UR3C-1,Mix,1.05217464
SII_PIM with VA,R2-UR1LL-8,Mix,1.01500363
SII_PIM with VA,R2-UR1LL-7,Mix,1.01500363
SII_PIM with VA,R2-UR1LL-6,Mix,1.01268619
SII_PIM with VA,R2-UR1LL-5,Mix,1.01268619
SII_PIM with VA,R2-UR1LL-4,Mix,0.98640105
SII_PIM with VA,R2-UR1LL-3,Mix,0.98640105
SII_PIM with VA,R2-UR1LL-2,Mix,0.98306525
SII_PIM with VA,R2-UR1LL-1,Mix,0.98306525
SII_PIM with VA,R1-UR1LL-8,Mix,1.01500363
SII_PIM with VA,R1-UR1LL-7,Mix,1.01500363
SII_PIM with VA,R1-UR1LL-6,Mix,0.94503597
SII_PIM with VA,R1-UR1LL-5,Mix,0.94503597
SII_PIM with VA,R1-UR1LL-4,Mix,1.05217464
SII_PIM with VA,R1-UR1LL-3,Mix,1.05217464
SII_PIM with VA,R1-UR1LL-2,Mix,1.06057117
SII_PIM with VA,R1-UR1LL-1,Mix,1.06057117
SII_PIM with VA,R2-UR1LT-8,Mix,1.01500363
SII_PIM with VA,R2-UR1LT-7,Mix,1.01500363
SII_PIM with VA,R2-UR1LT-6,Mix,1.01268619
SII_PIM with VA,R2-UR1LT-5,Mix,1.01268619
SII_PIM with VA,R2-UR1LT-4,Mix,0.98640105
SII_PIM with VA,R2-UR1LT-3,Mix,0.98640105
SII_PIM with VA,R2-UR1LT-2,Mix,0.98306525
