fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,value_per_year
440,0,01/04/2023,1.0,0,0,0,0,0,0.062
441,0,01/04/2023,1.0,0,0,0,0,0,0.062
442,0,01/04/2023,1.0,0,0,0,0,0,0.062
443,0,01/04/2023,1.0,0,0,0,0,0,0.062
444,0,01/04/2023,1.0,0,0,0,0,0,0.062
445,0,01/04/2023,1.0,0,0,0,0,0,0.062
446,0,01/04/2023,1.0,0,0,0,0,0,0.062
447,0,01/04/2023,1.0,0,0,0,0,0,0.062
448,0,01/04/2023,1.0,0,0,0,0,0,0.062
449,0,01/04/2023,1.0,0,0,0,0,0,0.062
450,0,01/04/2023,1.0,0,0,0,0,0,0.062
451,0,01/04/2023,1.0,0,0,0,0,0,0.062
452,0,01/04/2023,1.0,0,0,0,0,0,0.062
453,0,01/04/2023,1.0,0,0,0,0,0,0.062
454,0,01/04/2023,1.0,0,0,0,0,0,0.062
455,0,01/04/2023,1.0,0,0,0,0,0,0.062
456,0,01/04/2023,1.0,0,0,0,0,0,0.062
457,0,01/04/2023,1.0,0,0,0,0,0,0.062
458,0,01/04/2023,1.0,0,0,0,0,0,0.062
459,0,01/04/2023,1.0,0,0,0,0,0,0.062
460,0,01/04/2023,1.0,0,0,0,0,0,0.062
461,0,01/04/2023,1.0,0,0,0,0,0,0.062
462,0,01/04/2023,1.0,0,0,0,0,0,0.062
463,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
464,0,01/04/2023,1.0,0,0,0,0,0,0.062
465,0,01/04/2023,1.0,0,0,0,0,0,0.062
466,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
