fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,value_per_year
110,InsingerMultiManagerBalancedC,01/04/2023,1.0,0,0,1,0,0,0.062
111,0,01/04/2023,1.0,0,0,0,0,0,0.062
112,ComfortMixFund(=AEGONMixFund),01/04/2023,1.0,0,0,1,0,1,0.062
113,0,01/04/2023,1.0,0,0,0,0,0,0.062
114,ComfortAandelenFund(=AEGONEquityFund),01/04/2023,1.0,0,0,2,0,1,0.062
115,DeltaLloydL-GlobalFund-A,01/04/2023,1.0,0,0,2,0,0,0.062
116,DeltaLloydL-CyrteGlobalFund,01/04/2023,1.0,0,0,2,0,0,0.062
117,0,01/04/2023,1.0,0,0,0,0,0,0.062
118,0,01/04/2023,1.0,0,0,0,0,0,0.062
119,0,01/04/2023,1.0,0,0,0,0,0,0.062
120,0,01/04/2023,1.0,0,0,0,0,0,0.062
121,0,01/04/2023,1.0,0,0,0,0,0,0.062
122,0,01/04/2023,1.0,0,0,0,0,0,0.062
123,0,01/04/2023,1.0,0,0,0,0,0,0.062
124,HOFHoornemanEuropeanValueFund,01/04/2023,1.0,0,0,2,0,0,0.062
125,0,01/04/2023,1.0,0,0,0,0,0,0.062
126,0,01/04/2023,1.0,0,0,0,0,0,0.062
127,0,01/04/2023,1.0,0,0,0,0,0,0.062
128,0,01/04/2023,1.0,0,0,0,0,0,0.062
129,0,01/04/2023,1.0,0,0,0,0,0,0.062
130,0,01/04/2023,1.0,0,0,0,0,0,0.062
131,RobecoUSLargeCapEQ-DH,01/04/2023,1.0,0,0,2,0,0,0.062
132,AllianzEuropaAandelenFonds,01/04/2023,1.0,0,0,2,0,0,0.062
133,RobecoCAPSAMSustainableEuropeanEquities,01/04/2023,1.0,0,0,2,0,0,0.062
134,AEGONVastgoedFundInternationaal,01/04/2023,1.0,0,0,2,0,1,0.062
135,KONINKLIJKEPHILIPS,01/04/2023,1.0,0,0,2,0,0,0.062
136,Ageas,01/04/2023,1.0,0,0,2,0,0,0.062
137,0,01/04/2023,1.0,0,0,0,0,0,0.062
138,AEGONEquityFund,01/04/2023,1.0,0,0,2,0,1,0.062
139,AEGONRenteFund,01/04/2023,1.0,0,0,0,0,1,0.062
140,0,01/04/2023,1.0,0,0,0,0,0,0.062
141,0,01/04/2023,1.0,0,0,0,0,0,0.062
142,0,01/04/2023,1.0,0,0,0,0,0,0.062
143,0,01/04/2023,1.0,0,0,0,0,0,0.062
144,0,01/04/2023,1.0,0,0,0,0,0,0.062
145,AEGONDepositoFund,01/04/2023,1.0,0,0,0,0,1,0.062
146,0,01/04/2023,1.0,0,0,0,0,0,0.062
147,0,01/04/2023,1.0,0,0,0,0,0,0.062
148,0,01/04/2023,1.0,0,0,0,0,0,0.062
149,0,01/04/2023,1.0,0,0,0,0,0,0.062
150,0,01/04/2023,1.0,0,0,0,0,0,0.062
151,0,01/04/2023,1.0,0,0,0,0,0,0.062
152,0,01/04/2023,1.0,0,0,0,0,0,0.062
153,0,01/04/2023,1.0,0,0,0,0,0,0.062
154,RobecoHighYieldBondsB€,01/04/2023,1.0,0,0,0,0,0,0.062
155,RobecoEmergingMarketsEquitiesD€,01/04/2023,1.0,0,0,2,0,0,0.062
156,0,01/04/2023,1.0,0,0,0,0,0,0.062
157,ComfortRenteFonds(=AEGONRenteFund),01/04/2023,1.0,0,0,0,0,1,0.062
158,AEGONRenteFund,01/04/2023,1.0,0,0,0,0,1,0.062
159,AEGONMixFund,01/04/2023,1.0,0,0,1,0,1,0.062
160,0,01/04/2023,1.0,0,0,0,0,0,0.062
161,0,01/04/2023,1.0,0,0,0,0,0,0.062
162,0,01/04/2023,1.0,0,0,0,0,0,0.062
163,0,01/04/2023,1.0,0,0,0,0,0,0.062
164,0,01/04/2023,1.0,0,0,0,0,0,0.062
165,0,01/04/2023,1.0,0,0,0,0,0,0.062
166,0,01/04/2023,1.0,0,0,0,0,0,0.062
167,0,01/04/2023,1.0,0,0,0,0,0,0.062
