prodboomcd,age,value
AEGON_SPAARBEURS_spaarbelegger,15,1.0
AEGON_SPAARBEURS_spaarbelegger,16,1.0
AEGON_SPAARBEURS_spaarbelegger,17,1.0
AEGON_SPAARBEURS_spaarbelegger,18,1.0
AEGON_SPAARBEURS_spaarbelegger,19,1.0
AEGON_SPAARBEURS_spaarbelegger,20,1.0
AEGON_SPAARBEURS_spaarbelegger,21,1.0
AEGON_SPAARBEURS_spaarbelegger,22,1.0
AEGON_SPAARBEURS_spaarbelegger,23,1.0
AEGON_SPAARBEURS_spaarbelegger,24,1.0
AEGON_SPAARBEURS_spaarbelegger,25,1.0
AEGON_SPAARBEURS_spaarbelegger,26,1.0
AEGON_SPAARBEURS_spaarbelegger,27,1.0
AEGON_SPAARBEURS_spaarbelegger,28,1.0
AEGON_SPAARBEURS_spaarbelegger,29,1.0
AEGON_SPAARBEURS_spaarbelegger,30,1.0
AEGON_SPAARBEURS_spaarbelegger,31,1.0
AEGON_SPAARBEURS_spaarbelegger,32,1.0
AEGON_SPAARBEURS_spaarbelegger,33,1.0
AEGON_SPAARBEURS_spaarbelegger,34,1.0
AEGON_SPAARBEURS_spaarbelegger,35,1.0
AEGON_SPAARBEURS_spaarbelegger,36,1.0
AEGON_SPAARBEURS_spaarbelegger,37,1.0
AEGON_SPAARBEURS_spaarbelegger,38,1.0
AEGON_SPAARBEURS_spaarbelegger,39,1.0
AEGON_SPAARBEURS_spaarbelegger,40,1.0
AEGON_SPAARBEURS_spaarbelegger,41,1.0
AEGON_SPAARBEURS_spaarbelegger,42,1.0
AEGON_SPAARBEURS_spaarbelegger,43,1.0
AEGON_SPAARBEURS_spaarbelegger,44,1.0
AEGON_SPAARBEURS_spaarbelegger,45,1.0
AEGON_SPAARBEURS_spaarbelegger,46,1.0
AEGON_SPAARBEURS_spaarbelegger,47,1.0
AEGON_SPAARBEURS_spaarbelegger,48,1.0
AEGON_SPAARBEURS_spaarbelegger,49,1.0
AEGON_SPAARBEURS_spaarbelegger,50,1.0
AEGON_SPAARBEURS_spaarbelegger,51,1.0
AEGON_SPAARBEURS_spaarbelegger,52,1.0
AEGON_SPAARBEURS_spaarbelegger,53,1.0
AEGON_SPAARBEURS_spaarbelegger,54,1.0
AEGON_SPAARBEURS_spaarbelegger,55,1.0
AEGON_SPAARBEURS_spaarbelegger,56,1.0
AEGON_SPAARBEURS_spaarbelegger,57,1.0
AEGON_SPAARBEURS_spaarbelegger,58,1.0
AEGON_SPAARBEURS_spaarbelegger,59,1.0
AEGON_SPAARBEURS_spaarbelegger,60,1.0
AEGON_SPAARBEURS_spaarbelegger,61,1.0
AEGON_SPAARBEURS_spaarbelegger,62,1.0
AEGON_SPAARBEURS_spaarbelegger,63,1.0
AEGON_SPAARBEURS_spaarbelegger,64,1.0
AEGON_SPAARBEURS_spaarbelegger,65,1.0
AEGON_SPAARBEURS_spaarbelegger,66,1.0
AEGON_SPAARBEURS_spaarbelegger,67,1.0
AEGON_SPAARBEURS_spaarbelegger,68,1.0
AEGON_SPAARBEURS_spaarbelegger,69,1.0
AEGON_SPAARBEURS_spaarbelegger,70,1.0
AEGON_SPAARBEURS_spaarbelegger,71,1.0
AEGON_SPAARBEURS_spaarbelegger,72,1.0
AEGON_SPAARBEURS_spaarbelegger,73,1.0
AEGON_SPAARBEURS_spaarbelegger,74,1.0
AEGON_SPAARBEURS_spaarbelegger,75,1.0
AEGON_SPAARBEURS_spaarbelegger,76,1.0
AEGON_SPAARBEURS_spaarbelegger,77,1.0
AEGON_SPAARBEURS_spaarbelegger,78,1.0
AEGON_SPAARBEURS_spaarbelegger,79,1.0
AEGON_SPAARBEURS_spaarbelegger,80,1.0
AEGON_SPAARBEURS_spaarbelegger,81,1.0
AEGON_SPAARBEURS_tussenpersoon,15,1.0
AEGON_SPAARBEURS_tussenpersoon,16,1.0
AEGON_SPAARBEURS_tussenpersoon,17,1.0
AEGON_SPAARBEURS_tussenpersoon,18,1.0
AEGON_SPAARBEURS_tussenpersoon,19,1.0
AEGON_SPAARBEURS_tussenpersoon,20,1.0
AEGON_SPAARBEURS_tussenpersoon,21,1.0
AEGON_SPAARBEURS_tussenpersoon,22,1.0
AEGON_SPAARBEURS_tussenpersoon,23,1.0
