RunName,Mix,Rente,Equity
0069_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_Correlation-IFRS_MtD_Correlation-IFRS_MtD_ActualFundPerformance,1.00555348300889,1.02435383254634,1.00340577173111
0070_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_Correlation-IFRS_MtD_OCS-IFRS_MtD_ActualFundPerformance,1.00555348300889,1.02435383254634,1.00340577173111
0071_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_ActualFundPerformance,1.00555348300889,1.02435383254634,1.00340577173111
0072_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_Cashflows,1.00555348300889,1.02435383254634,1.00340577173111
0073_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_Bookings,1.00555348300889,1.02435383254634,1.00340577173111
0074_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_ExitClients,1.00555348300889,1.02435383254634,1.00340577173111
0075_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_UpdateAssetSource,1,1,1
0076_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_UpdateCashFlows,1,1,1
0077_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_NewClients,1,1,1
0078_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_OtherClientData,1,1,1
0079_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_LiabilityModel,1,1,1
0080_2023M03_Base-GH_IFRS_MtD_ParameterUpdatePost-GH_CALIB_T_Base-LV30Y_MtD_ParameterUpdate-IFRS_MtD_ParameterUpdate-IFRS_MtD_ParameterUpdate,1,1,1
0081_2023M03_Base-GH_IFRS_MtD_ModelChange-GH_CALIB_T_Base-LV30Y_MtD_ModelChange-IFRS_MtD_ModelChange-IFRS_MtD_ModelChange,1,1,1
0082_2023M03_Base-GH_IFRS_T_EndValue-GH_CALIB_T_Base-LV30Y_T_EndValue-IFRS_EndValue-IFRS_T_Base,1,1,1
0083_2023M03_Base-GH_IFRS_T_Base-GH_CALIB_T_Base-LV30Y_T_Base-IFRS_Base-IFRS_T_Base,1,1,1
0084_2023M03_Base-GH_IFRS_T_DI_200dn(00_60)-GH_CALIB_T_DI_200dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,1,1,1
0085_2023M03_Base-GH_IFRS_T_DI_100dn(00_60)-GH_CALIB_T_DI_100dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,1,1,1
0086_2023M03_Base-GH_IFRS_T_DI_100up(00_60)-GH_CALIB_T_DI_100up(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,1,1,1
0087_2023M03_Base-GH_IFRS_T_DI_200up(00_60)-GH_CALIB_T_DI_200up(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,1,1,1
0088_2023M03_Base-GH_IFRS_T_DI_200dn(00_60)_UFR_200dn-GH_CALIB_T_DI_200dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,1,1,1
0089_2023M03_Base-GH_IFRS_T_DI_100dn(00_60)_UFR_100dn-GH_CALIB_T_DI_100dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,1,1,1
0090_2023M03_Base-GH_IFRS_T_DI_100up(00_60)_UFR_100up-GH_CALIB_T_DI_100up(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,1,1,1
0091_2023M03_Base-GH_IFRS_T_DI_200up(00_60)_UFR_200up-GH_CALIB_T_DI_200up(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,1,1,1
0092_2023M03_Base-GH_IFRS_T_DI_300dn(00_60)-GH_CALIB_T_DI_300dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_DU_FI_300dn,1.08657164892343,1.23159099301289,1
0093_2023M03_Base-GH_IFRS_T_DI_200dn(00_60)-GH_CALIB_T_DI_200dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_DU_FI_200dn,1.05739443092215,1.15349728211355,1
0094_2023M03_Base-GH_IFRS_T_DI_100dn(00_60)-GH_CALIB_T_DI_100dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_DU_FI_100dn,1.02853868288239,1.07630447144007,1
0095_2023M03_Base-GH_IFRS_T_DI_050dn(00_60)-GH_CALIB_T_DI_050dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_DU_FI_050dn,1.01422998092652,1.03804197061847,1
0096_2023M03_Base-GH_IFRS_T_DI_025dn(00_60)-GH_CALIB_T_DI_025dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_DU_FI_025dn,1.00710518418182,1.01899351552406,1
