model,count,fund_name,composite,weight
DET,942,WrdAndRtVv_Income,JapAndVvB_Income,0.08
DET,943,WrdAndRtVv_Income,LamAndVvB_Income,0.01
DET,944,WrdAndRtVv_Income,NamAndVvB_Income,0.35
DET,945,WrdAndRtVv_Total,AsiaAndVvB_Total,0.03
DET,946,WrdAndRtVv_Total,EmAsVvB_Total,0.04
DET,947,WrdAndRtVv_Total,EuAndVvB_Total,0.5
DET,948,WrdAndRtVv_Total,JapAndVvB_Total,0.08
DET,949,WrdAndRtVv_Total,LamAndVvB_Total,0.01
DET,950,WrdAndRtVv_Total,NamAndVvB_Total,0.35
DET,951,WrdComVz_Income,Commodities_Income,1.0
DET,952,WrdComVz_Total,Commodities_Total,1.0
DET,953,WrdHiYInsVv_Income,EurHiYVvB_Income,0.3
DET,954,WrdHiYInsVv_Income,NamHiYVvB_Income,0.7
DET,955,WrdHiYInsVv_Total,EurHiYVvB_Total,0.3
DET,956,WrdHiYInsVv_Total,NamHiYVvB_Total,0.7
DET,957,WrdHiYVz_Income,EurHiYVzP_Income,0.3
DET,958,WrdHiYVz_Income,NamHiYVzP_Income,0.7
DET,959,WrdHiYVz_Total,EurHiYVzP_Total,0.3
DET,960,WrdHiYVz_Total,NamHiYVzP_Total,0.7
DET,961,WrdIndexVv_Income,WrdIndexVvB_Income,1.0
DET,962,WrdIndexVv_Total,WrdIndexVvB_Total,1.0
DET,963,WrdIndexVvB_Income,WorldEqVz_Income,1.0
DET,964,WrdIndexVvB_Total,WorldEqVz_Total,1.0
DET,965,WrdMixRtVv_Income,AsiaAndVvB_Income,0.01
DET,966,WrdMixRtVv_Income,EmAsVvB_Income,0.01
DET,967,WrdMixRtVv_Income,Emu3AObVvB_Income,0.55
DET,968,WrdMixRtVv_Income,EuAndVvB_Income,0.1
DET,969,WrdMixRtVv_Income,FutVrwVvB_Income,0.0
DET,970,WrdMixRtVv_Income,JapAndVvB_Income,0.02
DET,971,WrdMixRtVv_Income,LamAndVvB_Income,0.01
DET,972,WrdMixRtVv_Income,NamAndVvB_Income,0.2
DET,973,WrdMixRtVv_Income,VgReAndVvB_Income,0.05
DET,974,WrdMixRtVv_Income,WrdComVz_Income,0.05
DET,975,WrdMixRtVv_Total,AsiaAndVvB_Total,0.01
DET,976,WrdMixRtVv_Total,EmAsVvB_Total,0.01
DET,977,WrdMixRtVv_Total,Emu3AObVvB_Total,0.55
DET,978,WrdMixRtVv_Total,EuAndVvB_Total,0.1
DET,979,WrdMixRtVv_Total,FutVrwVvB_Total,0.0
DET,980,WrdMixRtVv_Total,JapAndVvB_Total,0.02
DET,981,WrdMixRtVv_Total,LamAndVvB_Total,0.01
DET,982,WrdMixRtVv_Total,NamAndVvB_Total,0.2
DET,983,WrdMixRtVv_Total,VgReAndVvB_Total,0.05
DET,984,WrdMixRtVv_Total,WrdComVz_Total,0.05
DET,985,WrdSriRtVv_Income,SriWrdInsVv_Income,1.0
DET,986,WrdSriRtVv_Total,SriWrdInsVv_Total,1.0
DET,987,10_YEAR_GOVERNMENT_AAA_Income,ESG.GenericBondPortfolios.Const10.IncomeYield,1.0
DET,988,10_YEAR_GOVERNMENT_AAA_Total,ESG.GenericBondPortfolios.Const10.TotalReturn,1.0
DET,989,2_YEAR_GOVERNMENT_AAA_Income,ESG.GenericBondPortfolios.Const3.IncomeYield,1.0
DET,990,2_YEAR_GOVERNMENT_AAA_Total,ESG.GenericBondPortfolios.Const3.TotalReturn,1.0
DET,991,30_YEAR_GOVERNMENT_AAA_Income,ESG.GenericBondPortfolios.Const15.IncomeYield,1.0
DET,992,30_YEAR_GOVERNMENT_AAA_Total,ESG.GenericBondPortfolios.Const15.TotalReturn,1.0
DET,993,5_YEAR_GOVERNMENT_AAA_Income,ESG.GenericBondPortfolios.Const5.IncomeYield,1.0
DET,994,5_YEAR_GOVERNMENT_AAA_Total,ESG.GenericBondPortfolios.Const5.TotalReturn,1.0
DET,995,Absolute_Return_Income,Equities_North_America_Income,1.0
DET,996,Absolute_Return_Total,Equities_North_America_Total,1.0
DET,997,AEGON_Cash_Total,BANKINGACCOUNT,1.0
DET,998,AEGON_Staatsleningen_Total,OverrenteVzINDEXTYPE,1.0
DET,999,Asset_Backed_Securities_Income,ESG.CompositePortfolios.ABS.IncomeYield,1.0
DET,1000,Asset_Backed_Securities_Total,ESG.CompositePortfolios.ABS.TotalReturn,1.0
DET,1001,Commodities_Income,ESG.EquityAssets.Commodities.TotalReturn,1.0
DET,1002,Commodities_Total,ESG.EquityAssets.Commodities.TotalReturn,1.0
DET,1003,Emerging_Markets_Income,ESG.CompositePortfolios.EmergingMarkets.IncomeYield,1.0
DET,1004,Emerging_Markets_Total,ESG.CompositePortfolios.EmergingMarkets.TotalReturn,1.0
DET,1005,Equities_Asia_Income,ESG.EquityAssets.Asia.TotalReturn,1.0
DET,1006,Equities_Asia_Total,ESG.EquityAssets.Asia.TotalReturn,1.0
DET,1007,Equities_Europe_Income,ESG.EquityAssets.Europe.TotalReturn,1.0
DET,1008,Equities_Europe_Total,ESG.EquityAssets.Europe.TotalReturn,1.0
DET,1009,Equities_North_America_Income,ESG.EquityAssets.NorthAmerica.TotalReturn,1.0
DET,1010,Equities_North_America_Total,ESG.EquityAssets.NorthAmerica.TotalReturn,1.0
DET,1011,European_3A_Bonds_Income,ESG.CompositePortfolios.Eur3ABonds.IncomeYield,1.0
DET,1012,European_3A_Bonds_Total,ESG.CompositePortfolios.Eur3ABonds.TotalReturn,1.0
DET,1013,European_Credits_Income,ESG.CompositePortfolios.EurCredits.IncomeYield,1.0
DET,1014,European_Credits_Total,ESG.CompositePortfolios.EurCredits.TotalReturn,1.0
DET,1015,High_Yield_Europe_Income,ESG.CompositePortfolios.HY-Europe.IncomeYield,1.0
DET,1016,High_Yield_Europe_Total,ESG.CompositePortfolios.HY-Europe.TotalReturn,1.0
