prodboomcd,premium,value
2040PLUSFONDS_PUP,5200,1.0
2040PLUSFONDS_PUP,5250,1.0
2040PLUSFONDS_PUP,5300,1.0
2040PLUSFONDS_PUP,5350,1.0
2040PLUSFONDS_PUP,5400,1.0
2040PLUSFONDS_PUP,5450,1.0
2040PLUSFONDS_PUP,5500,1.0
2040PLUSFONDS_PUP,5550,1.0
2040PLUSFONDS_PUP,5600,1.0
2040PLUSFONDS_PUP,5650,1.0
2040PLUSFONDS_PUP,5700,1.0
2040PLUSFONDS_PUP,5750,1.0
2040PLUSFONDS_PUP,5800,1.0
2040PLUSFONDS_PUP,5850,1.0
2040PLUSFONDS_PUP,5900,1.0
2040PLUSFONDS_PUP,5950,1.0
2040PLUSFONDS_PUP,6000,1.0
2040PLUSFONDS_PUP,6050,1.0
2040PLUSFONDS_PUP,6100,1.0
2040PLUSFONDS_PUP,6150,1.0
2040PLUSFONDS_PUP,6200,1.0
2040PLUSFONDS_PUP,6250,1.0
2040PLUSFONDS_PUP,6300,1.0
2040PLUSFONDS_PUP,6350,1.0
2040PLUSFONDS_PUP,6400,1.0
2040PLUSFONDS_PUP,6450,1.0
2040PLUSFONDS_PUP,6500,1.0
2040PLUSFONDS_PUP,6550,1.0
2040PLUSFONDS_PUP,6600,1.0
2040PLUSFONDS_PUP,6650,1.0
2040PLUSFONDS_PUP,6700,1.0
2040PLUSFONDS_PUP,6750,1.0
2040PLUSFONDS_PUP,6800,1.0
2040PLUSFONDS_PUP,6850,1.0
2040PLUSFONDS_PUP,6900,1.0
2040PLUSFONDS_PUP,6950,1.0
2040PLUSFONDS_PUP,7000,1.0
2040PLUSFONDS_PUP,7050,1.0
2040PLUSFONDS_PUP,7100,1.0
2040PLUSFONDS_PUP,7150,1.0
2040PLUSFONDS_PUP,7200,1.0
2040PLUSFONDS_PUP,7250,1.0
2040PLUSFONDS_PUP,7300,1.0
2040PLUSFONDS_PUP,7350,1.0
2040PLUSFONDS_PUP,7400,1.0
2040PLUSFONDS_PUP,7450,1.0
2040PLUSFONDS_PUP,7500,1.0
2040PLUSFONDS_PUP,7550,1.0
2040PLUSFONDS_PUP,7600,1.0
2040PLUSFONDS_PUP,7650,1.0
2040PLUSFONDS_PUP,7700,1.0
2040PLUSFONDS_PUP,7750,1.0
2040PLUSFONDS_PUP,7800,1.0
2040PLUSFONDS_PUP,7850,1.0
2040PLUSFONDS_PUP,7900,1.0
2040PLUSFONDS_PUP,7950,1.0
2040PLUSFONDS_PUP,8000,1.0
2040PLUSFONDS_PUP,8050,1.0
2040PLUSFONDS_PUP,8100,1.0
2040PLUSFONDS_PUP,8150,1.0
2040PLUSFONDS_PUP,8200,1.0
2040PLUSFONDS_PUP,8250,1.0
2040PLUSFONDS_PUP,8300,1.0
2040PLUSFONDS_PUP,8350,1.0
2040PLUSFONDS_PUP,8400,1.0
2040PLUSFONDS_PUP,8450,1.0
2040PLUSFONDS_PUP,8500,1.0
2040PLUSFONDS_PUP,8550,1.0
2040PLUSFONDS_PUP,8600,1.0
2040PLUSFONDS_PUP,8650,1.0
2040PLUSFONDS_PUP,8700,1.0
2040PLUSFONDS_PUP,8750,1.0
2040PLUSFONDS_PUP,8800,1.0
2040PLUSFONDS_PUP,8850,1.0
2040PLUSFONDS_PUP,8900,1.0
2040PLUSFONDS_PUP,8950,1.0
2040PLUSFONDS_PUP,9000,1.0
2040PLUSFONDS_PUP,9050,1.0
2040PLUSFONDS_PUP,9100,1.0
2040PLUSFONDS_PUP,9150,1.0
2040PLUSFONDS_PUP,9200,1.0
2040PLUSFONDS_PUP,9250,1.0
2040PLUSFONDS_PUP,9300,1.0
2040PLUSFONDS_PUP,9350,1.0
2040PLUSFONDS_PUP,9400,1.0
2040PLUSFONDS_PUP,9450,1.0
2040PLUSFONDS_PUP,9500,1.0
2040PLUSFONDS_PUP,9550,1.0
2040PLUSFONDS_PUP,9600,1.0
2040PLUSFONDS_PUP,9650,1.0
2040PLUSFONDS_PUP,9700,1.0
2040PLUSFONDS_PUP,9750,1.0
2040PLUSFONDS_PUP,9800,1.0
2040PLUSFONDS_PUP,9850,1.0
2040PLUSFONDS_PUP,9900,1.0
2040PLUSFONDS_PUP,9950,1.0
2040PLUSFONDS_PUP,10000,1.0
2040PLUSFONDS_PUP,10050,1.0
AEGON_KOERSPLAN_spaaradvies,50,1.0
AEGON_KOERSPLAN_spaaradvies,100,1.0
AEGON_KOERSPLAN_spaaradvies,150,1.0
AEGON_KOERSPLAN_spaaradvies,200,1.0
AEGON_KOERSPLAN_spaaradvies,250,1.0
AEGON_KOERSPLAN_spaaradvies,300,1.0
AEGON_KOERSPLAN_spaaradvies,350,1.0
AEGON_KOERSPLAN_spaaradvies,400,1.0
AEGON_KOERSPLAN_spaaradvies,450,1.0
AEGON_KOERSPLAN_spaaradvies,500,1.0
AEGON_KOERSPLAN_spaaradvies,550,1.0
AEGON_KOERSPLAN_spaaradvies,600,1.0
AEGON_KOERSPLAN_spaaradvies,650,1.0
AEGON_KOERSPLAN_spaaradvies,700,1.0
AEGON_KOERSPLAN_spaaradvies,750,1.0
AEGON_KOERSPLAN_spaaradvies,800,1.0
AEGON_KOERSPLAN_spaaradvies,850,1.0
AEGON_KOERSPLAN_spaaradvies,900,1.0
AEGON_KOERSPLAN_spaaradvies,950,1.0
AEGON_KOERSPLAN_spaaradvies,1000,1.0
AEGON_KOERSPLAN_spaaradvies,1050,1.0
AEGON_KOERSPLAN_spaaradvies,1100,1.0
AEGON_KOERSPLAN_spaaradvies,1150,1.0
AEGON_KOERSPLAN_spaaradvies,1200,1.0
AEGON_KOERSPLAN_spaaradvies,1250,1.0
AEGON_KOERSPLAN_spaaradvies,1300,1.0
AEGON_KOERSPLAN_spaaradvies,1350,1.0
AEGON_KOERSPLAN_spaaradvies,1400,1.0
AEGON_KOERSPLAN_spaaradvies,1450,1.0
AEGON_KOERSPLAN_spaaradvies,1500,1.0
AEGON_KOERSPLAN_spaaradvies,1550,1.0
AEGON_KOERSPLAN_spaaradvies,1600,1.0
AEGON_KOERSPLAN_spaaradvies,1650,1.0
AEGON_KOERSPLAN_spaaradvies,1700,1.0
AEGON_KOERSPLAN_spaaradvies,1750,1.0
AEGON_KOERSPLAN_spaaradvies,1800,1.0
AEGON_KOERSPLAN_spaaradvies,1850,1.0
AEGON_KOERSPLAN_spaaradvies,1900,1.0
AEGON_KOERSPLAN_spaaradvies,1950,1.0
AEGON_KOERSPLAN_spaaradvies,2000,1.0
AEGON_KOERSPLAN_spaaradvies,2050,1.0
AEGON_KOERSPLAN_spaaradvies,2100,1.0
AEGON_KOERSPLAN_spaaradvies,2150,1.0
AEGON_KOERSPLAN_spaaradvies,2200,1.0
AEGON_KOERSPLAN_spaaradvies,2250,1.0
AEGON_KOERSPLAN_spaaradvies,2300,1.0
AEGON_KOERSPLAN_spaaradvies,2350,1.0
AEGON_KOERSPLAN_spaaradvies,2400,1.0
AEGON_KOERSPLAN_spaaradvies,2450,1.0
AEGON_KOERSPLAN_spaaradvies,2500,1.0
AEGON_KOERSPLAN_spaaradvies,2550,1.0
AEGON_KOERSPLAN_spaaradvies,2600,1.0
AEGON_KOERSPLAN_spaaradvies,2650,1.0
AEGON_KOERSPLAN_spaaradvies,2700,1.0
AEGON_KOERSPLAN_spaaradvies,2750,1.0
AEGON_KOERSPLAN_spaaradvies,2800,1.0
AEGON_KOERSPLAN_spaaradvies,2850,1.0
AEGON_KOERSPLAN_spaaradvies,2900,1.0
AEGON_KOERSPLAN_spaaradvies,2950,1.0
AEGON_KOERSPLAN_spaaradvies,3000,1.0
AEGON_KOERSPLAN_spaaradvies,3050,1.0
AEGON_KOERSPLAN_spaaradvies,3100,1.0
AEGON_KOERSPLAN_spaaradvies,3150,1.0
AEGON_KOERSPLAN_spaaradvies,3200,1.0
AEGON_KOERSPLAN_spaaradvies,3250,1.0
AEGON_KOERSPLAN_spaaradvies,3300,1.0
AEGON_KOERSPLAN_spaaradvies,3350,1.0
AEGON_KOERSPLAN_spaaradvies,3400,1.0
AEGON_KOERSPLAN_spaaradvies,3450,1.0
AEGON_KOERSPLAN_spaaradvies,3500,1.0
AEGON_KOERSPLAN_spaaradvies,3550,1.0
AEGON_KOERSPLAN_spaaradvies,3600,1.0
AEGON_KOERSPLAN_spaaradvies,3650,1.0
AEGON_KOERSPLAN_spaaradvies,3700,1.0
AEGON_KOERSPLAN_spaaradvies,3750,1.0
AEGON_KOERSPLAN_spaaradvies,3800,1.0
AEGON_KOERSPLAN_spaaradvies,3850,1.0
AEGON_KOERSPLAN_spaaradvies,3900,1.0
AEGON_KOERSPLAN_spaaradvies,3950,1.0
AEGON_KOERSPLAN_spaaradvies,4000,1.0
AEGON_KOERSPLAN_spaaradvies,4050,1.0
AEGON_KOERSPLAN_spaaradvies,4100,1.0
AEGON_KOERSPLAN_spaaradvies,4150,1.0
AEGON_KOERSPLAN_spaaradvies,4200,1.0
AEGON_KOERSPLAN_spaaradvies,4250,1.0
AEGON_KOERSPLAN_spaaradvies,4300,1.0
AEGON_KOERSPLAN_spaaradvies,4350,1.0
AEGON_KOERSPLAN_spaaradvies,4400,1.0
AEGON_KOERSPLAN_spaaradvies,4450,1.0
AEGON_KOERSPLAN_spaaradvies,4500,1.0
AEGON_KOERSPLAN_spaaradvies,4550,1.0
AEGON_KOERSPLAN_spaaradvies,4600,1.0
AEGON_KOERSPLAN_spaaradvies,4650,1.0
AEGON_KOERSPLAN_spaaradvies,4700,1.0
AEGON_KOERSPLAN_spaaradvies,4750,1.0
AEGON_KOERSPLAN_spaaradvies,4800,1.0
AEGON_KOERSPLAN_spaaradvies,4850,1.0
AEGON_KOERSPLAN_spaaradvies,4900,1.0
AEGON_KOERSPLAN_spaaradvies,4950,1.0
AEGON_KOERSPLAN_spaaradvies,5000,1.0
AEGON_KOERSPLAN_spaaradvies,5050,1.0
AEGON_KOERSPLAN_spaaradvies,5100,1.0
AEGON_KOERSPLAN_spaaradvies,5150,1.0
AEGON_KOERSPLAN_spaaradvies,5200,1.0
AEGON_KOERSPLAN_spaaradvies,5250,1.0
AEGON_KOERSPLAN_spaaradvies,5300,1.0
AEGON_KOERSPLAN_spaaradvies,5350,1.0
AEGON_KOERSPLAN_spaaradvies,5400,1.0
AEGON_KOERSPLAN_spaaradvies,5450,1.0
AEGON_KOERSPLAN_spaaradvies,5500,1.0
AEGON_KOERSPLAN_spaaradvies,5550,1.0
AEGON_KOERSPLAN_spaaradvies,5600,1.0
AEGON_KOERSPLAN_spaaradvies,5650,1.0
AEGON_KOERSPLAN_spaaradvies,5700,1.0
AEGON_KOERSPLAN_spaaradvies,5750,1.0
AEGON_KOERSPLAN_spaaradvies,5800,1.0
AEGON_KOERSPLAN_spaaradvies,5850,1.0
AEGON_KOERSPLAN_spaaradvies,5900,1.0
AEGON_KOERSPLAN_spaaradvies,5950,1.0
AEGON_KOERSPLAN_spaaradvies,6000,1.0
AEGON_KOERSPLAN_spaaradvies,6050,1.0
AEGON_KOERSPLAN_spaaradvies,6100,1.0
AEGON_KOERSPLAN_spaaradvies,6150,1.0
AEGON_KOERSPLAN_spaaradvies,6200,1.0
AEGON_KOERSPLAN_spaaradvies,6250,1.0
AEGON_KOERSPLAN_spaaradvies,6300,1.0
AEGON_KOERSPLAN_spaaradvies,6350,1.0
AEGON_KOERSPLAN_spaaradvies,6400,1.0
AEGON_KOERSPLAN_spaaradvies,6450,1.0
AEGON_KOERSPLAN_spaaradvies,6500,1.0
AEGON_KOERSPLAN_spaaradvies,6550,1.0
AEGON_KOERSPLAN_spaaradvies,6600,1.0
AEGON_KOERSPLAN_spaaradvies,6650,1.0
AEGON_KOERSPLAN_spaaradvies,6700,1.0
AEGON_KOERSPLAN_spaaradvies,6750,1.0
AEGON_KOERSPLAN_spaaradvies,6800,1.0
AEGON_KOERSPLAN_spaaradvies,6850,1.0
AEGON_KOERSPLAN_spaaradvies,6900,1.0
AEGON_KOERSPLAN_spaaradvies,6950,1.0
AEGON_KOERSPLAN_spaaradvies,7000,1.0
AEGON_KOERSPLAN_spaaradvies,7050,1.0
AEGON_KOERSPLAN_spaaradvies,7100,1.0
AEGON_KOERSPLAN_spaaradvies,7150,1.0
AEGON_KOERSPLAN_spaaradvies,7200,1.0
AEGON_KOERSPLAN_spaaradvies,7250,1.0
AEGON_KOERSPLAN_spaaradvies,7300,1.0
AEGON_KOERSPLAN_spaaradvies,7350,1.0
AEGON_KOERSPLAN_spaaradvies,7400,1.0
AEGON_KOERSPLAN_spaaradvies,7450,1.0
AEGON_KOERSPLAN_spaaradvies,7500,1.0
AEGON_KOERSPLAN_spaaradvies,7550,1.0
AEGON_KOERSPLAN_spaaradvies,7600,1.0
AEGON_KOERSPLAN_spaaradvies,7650,1.0
AEGON_KOERSPLAN_spaaradvies,7700,1.0
AEGON_KOERSPLAN_spaaradvies,7750,1.0
AEGON_KOERSPLAN_spaaradvies,7800,1.0
AEGON_KOERSPLAN_spaaradvies,7850,1.0
AEGON_KOERSPLAN_spaaradvies,7900,1.0
AEGON_KOERSPLAN_spaaradvies,7950,1.0
AEGON_KOERSPLAN_spaaradvies,8000,1.0
AEGON_KOERSPLAN_spaaradvies,8050,1.0
AEGON_KOERSPLAN_spaaradvies,8100,1.0
AEGON_KOERSPLAN_spaaradvies,8150,1.0
AEGON_KOERSPLAN_spaaradvies,8200,1.0
AEGON_KOERSPLAN_spaaradvies,8250,1.0
AEGON_KOERSPLAN_spaaradvies,8300,1.0
AEGON_KOERSPLAN_spaaradvies,8350,1.0
AEGON_KOERSPLAN_spaaradvies,8400,1.0
AEGON_KOERSPLAN_spaaradvies,8450,1.0
AEGON_KOERSPLAN_spaaradvies,8500,1.0
AEGON_KOERSPLAN_spaaradvies,8550,1.0
AEGON_KOERSPLAN_spaaradvies,8600,1.0
AEGON_KOERSPLAN_spaaradvies,8650,1.0
AEGON_KOERSPLAN_spaaradvies,8700,1.0
AEGON_KOERSPLAN_spaaradvies,8750,1.0
AEGON_KOERSPLAN_spaaradvies,8800,1.0
AEGON_KOERSPLAN_spaaradvies,8850,1.0
AEGON_KOERSPLAN_spaaradvies,8900,1.0
AEGON_KOERSPLAN_spaaradvies,8950,1.0
AEGON_KOERSPLAN_spaaradvies,9000,1.0
AEGON_KOERSPLAN_spaaradvies,9050,1.0
AEGON_KOERSPLAN_spaaradvies,9100,1.0
AEGON_KOERSPLAN_spaaradvies,9150,1.0
AEGON_KOERSPLAN_spaaradvies,9200,1.0
AEGON_KOERSPLAN_spaaradvies,9250,1.0
AEGON_KOERSPLAN_spaaradvies,9300,1.0
AEGON_KOERSPLAN_spaaradvies,9350,1.0
AEGON_KOERSPLAN_spaaradvies,9400,1.0
AEGON_KOERSPLAN_spaaradvies,9450,1.0
AEGON_KOERSPLAN_spaaradvies,9500,1.0
AEGON_KOERSPLAN_spaaradvies,9550,1.0
AEGON_KOERSPLAN_spaaradvies,9600,1.0
