fund_number,fund_name,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,value_per_year
177,ParvestBestSelectionExJapanCA,1.0,0,0,2,0,0,0.062
178,ParvestEqu-LatinAmer-CC,1.0,0,0,2,0,0,0.062
179,ParvestBondWorld-CC,1.0,0,0,0,0,0,0.062
180,ParvestBondUSD-CC,1.0,0,0,0,0,0,0.062
181,ParvestBondWorldHighYield-CD,1.0,0,0,0,0,0,0.062
182,0,1.0,0,0,0,0,0,0.062
183,TNTEXPRESSNV,1.0,0,0,2,0,0,0.062
184,POSTNL,1.0,0,0,2,0,0,0.062
185,AEGONEquityEuropeFund,1.0,0,0,2,0,1,0.062
186,0,1.0,0,0,0,0,0,0.062
187,AegonDynamic6,1.0,0,0,2,0,1,0.062
188,0,1.0,0,0,0,0,0,0.062
189,0,1.0,0,0,0,0,0,0.062
190,0,1.0,0,0,0,0,0,0.062
191,0,1.0,0,0,0,0,0,0.062
192,0,1.0,0,0,0,0,0,0.062
193,0,1.0,0,0,0,0,0,0.062
194,0,1.0,0,0,0,0,0,0.062
195,0,1.0,0,0,0,0,0,0.062
196,0,1.0,0,0,0,0,0,0.062
197,0,1.0,0,0,0,0,0,0.062
198,0,1.0,0,0,0,0,0,0.062
199,0,1.0,0,0,0,0,0,0.062
200,0,1.0,0,0,0,0,0,0.062
201,0,1.0,0,0,0,0,0,0.062
202,0,1.0,0,0,0,0,0,0.062
203,0,1.0,0,0,0,0,0,0.062
204,0,1.0,0,0,0,0,0,0.062
205,0,1.0,0,0,0,0,0,0.062
206,0,1.0,0,0,0,0,0,0.062
207,0,1.0,0,0,0,0,0,0.062
208,0,1.0,0,0,0,0,0,0.062
209,0,1.0,0,0,0,0,0,0.062
210,0,1.0,0,0,0,0,0,0.062
211,0,1.0,0,0,0,0,0,0.062
212,0,1.0,0,0,0,0,0,0.062
213,0,1.0,0,0,0,0,0,0.062
214,0,1.0,0,0,0,0,0,0.062
215,0,1.0,0,0,0,0,0,0.062
216,0,1.0,0,0,0,0,0,0.062
217,0,1.0,0,0,0,0,0,0.062
218,0,1.0,0,0,0,0,0,0.062
219,0,1.0,0,0,0,0,0,0.062
220,0,1.0,0,0,0,0,0,0.062
