tarcd,indicator,acq_exp_freq,acq_exp_alloc,ren_exp_pp_freq,ren_exp_pup_freq,ren_exp_alloc,comm_pp_freq,comm_pup_freq,comm_alloc,riskprem_freq,riskprem_alloc,mngmt_freq,mngmt_alloc,aankoop_kst,verkoop_kst,mngmt_cmpny_pc,mngmt_cmpny_pc_2,defer_period,init_comp_mort,ren_comp_mort,ind_survprof_surr,ind_savprem_surr,ind_autoswitch,switch_term_start,guarantee_pc,exp_init_ex_moira,perc_fund,man_fee_am_iss_dat,mat_charge_fixed,pup_si_mult,dth_ded_mth_fnd,dth_ded_elapsed_mth,dth_ded_perc_term,dth_ded_perc_fixed,dth_ded_perc_max,costs_perc_sav_prem,mcev_spaar_trad_ind
2040PLUSFONDS_C,6,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,0.0,1.0,2.0,36.0,0.06,0.3,0.95,0.0,1.0
2040PLUSFONDS_K,6,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,0.0,1.0,2.0,36.0,0.06,0.3,0.95,0.0,1.0
2040PLUSFONDS_P,6,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,0.0,1.0,2.0,36.0,0.06,0.3,0.95,0.0,1.0
2040PLUSFONDS_T,6,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,0.0,1.0,2.0,36.0,0.06,0.3,0.95,0.0,1.0
AEGON_KINDERSPAARBEURS_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_PERSONEEL_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_PERSONEEL_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_PERSONEEL_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_PERSONEEL_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KOERSPLAN_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KOERSPLAN_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KOERSPLAN_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KOERSPLAN_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_PENSIOENBEURS_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_PENSIOENBEURS_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_PENSIOENBEURS_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_PENSIOENBEURS_PERSONEEL_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_PENSIOENBEURS_PERSONEEL_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_PENSIOENBEURS_PERSONEEL_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_PENSIOENBEURS_PERSONEEL_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_PENSIOENBEURS_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURSHYPOTHEEK_PERSONEEL_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURSHYPOTHEEK_PERSONEEL_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURSHYPOTHEEK_PERSONEEL_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURSHYPOTHEEK_PERSONEEL_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_HYPOTHEEK_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_HYPOTHEEK_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_HYPOTHEEK_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_HYPOTHEEK_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_O,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_PERSONEEL_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_PERSONEEL_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_PERSONEEL_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_PERSONEEL_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_SPAARBEURS_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AFP_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
AFP_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
AFP_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
AFP_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
ALH_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
ALH_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
ALH_O,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
ALH_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
ALH_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
AORV_Type1_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type1_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type1_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type2_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type2_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type2_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type3_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type3_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type3_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type4_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type4_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AORV_Type4_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
AOWPRIVEPLAN_C,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",1.0,60.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AOWPRIVEPLAN_K,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",1.0,60.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AOWPRIVEPLAN_P,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",1.0,60.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AOWPRIVEPLAN_T,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",1.0,60.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ASH_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
ASH_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
ASH_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
AVN_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","","","","","","","","","","","","","",""
AVN_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","","","","","","","","","","","","","",""
BUDGETFONDS_,5,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,4.54,1.0,1.0,48.0,0.06,0.0,0.0,0.07,0.0
BUDGETFONDS_C,5,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,4.54,1.0,1.0,48.0,0.06,0.0,0.0,0.07,0.0
BUDGETFONDS_K,5,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,4.54,1.0,1.0,48.0,0.06,0.0,0.0,0.07,0.0
BUDGETFONDS_P,5,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,4.54,1.0,1.0,48.0,0.06,0.0,0.0,0.07,0.0
BUDGETFONDS_T,5,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,4.54,1.0,1.0,48.0,0.06,0.0,0.0,0.07,0.0
FISCAALVOORDEELPLAN_C,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FISCAALVOORDEELPLAN_K,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FISCAALVOORDEELPLAN_P,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FISCAALVOORDEELPLAN_T,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARANTIEPLAN_C,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARANTIEPLAN_K,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARANTIEPLAN_P,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARANTIEPLAN_T,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAPITAALPLAN_C,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAPITAALPLAN_K,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAPITAALPLAN_P,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAPITAALPLAN_T,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOERSPLAN_C,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOERSPLAN_K,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOERSPLAN_P,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOERSPLAN_T,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOOPSOM_C,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOOPSOM_K,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOOPSOM_P,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOOPSOM_T,1,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",0.0,1.1,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIJFRENTE_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
LIJFRENTE_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",0.03,"","","","","","","","","","","",""
LLH_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0012,0.0012,"",0.0,0.0,"","","","",0.04,"","","","","","","","","","","",""
LLH_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0012,0.0012,"",0.0,0.0,"","","","",0.04,"","","","","","","","","","","",""
LLH_O,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLH_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0012,0.0012,"",0.0,0.0,"","","","",0.04,"","","","","","","","","","","",""
LLH_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0012,0.0012,"",0.0,0.0,"","","","",0.04,"","","","","","","","","","","",""
LLI_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0036,0.0036,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLI_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0036,0.0036,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLI_O,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLI_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0036,0.0036,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLI_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0036,0.0036,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLJ_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLJ_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLJ_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLJ_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLK_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0036,0.0036,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLK_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0036,0.0036,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLK_O,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0054,0.0054,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLK_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0036,0.0036,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
LLK_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.005,0.0,0.0036,0.0036,"",0.0,0.0,"","","","",0.036,"","","","","","","","","","","",""
