runname,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0059_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_OtherFI,60.84,20.087578656233763,35.601169104363485,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0060_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_Equities,61.04720715212064,20.087578656233763,35.673604271348964,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0061_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_Commodities,61.04720715212064,20.087578656233763,35.63670876548021,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0062_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_RealEstate,61.04720715212064,20.087578656233763,35.5044214946001,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0063_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_OthernonFI,61.04720715212064,20.087578656233763,35.5044214946001,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0064_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_TacticalAllocations,61.04720715212064,20.087578656233763,35.5044214946001,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0065_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_ActualFundPerformance,61.04720715212064,20.087578656233763,35.576482228854374,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.360000001436,14.360000001436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0066_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_VE_hedged-IFRS_MtD_ActualFundPerformance,61.04720715212064,20.087578656233763,35.576482228854374,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.360000001436,14.360000001436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0067_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_VE_east-IFRS_MtD_ActualFundPerformance,61.04720715212064,20.087578656233763,35.576482228854374,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.360000001436,14.360000001436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0068_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_Other_vols-IFRS_MtD_ActualFundPerformance,61.04720715212064,20.087578656233763,35.576482228854374,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.360000001436,14.360000001436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
