fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
113,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
114,ComfortAandelenFund(=AEGONEquityFund),01/01/2023,1.0,0,0,2,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
115,DeltaLloydL-GlobalFund-A,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
116,DeltaLloydL-CyrteGlobalFund,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
117,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
118,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
119,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
120,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
121,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
122,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
123,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
124,HOFHoornemanEuropeanValueFund,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
125,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
126,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
127,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
128,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
129,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
130,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
131,RobecoUSLargeCapEQ-DH,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
132,AllianzEuropaAandelenFonds,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
133,RobecoCAPSAMSustainableEuropeanEquities,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
134,AEGONVastgoedFundInternationaal,01/01/2023,1.0,0,0,2,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
135,KONINKLIJKEPHILIPS,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
136,Ageas,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
137,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
138,AEGONEquityFund,01/01/2023,1.0,0,0,2,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
139,AEGONRenteFund,01/01/2023,1.0,0,0,0,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
140,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
