keyfield,postid,product,group,kstvlgnr,kstcd,ksttotbd,kstvbgjr,kstvbgmd,chgperiod,recordno
608388360,608388360,CHARGE,chg,2,1.0,8.76,2007,11,23.0,98
608388390,608388390,CHARGE,chg,1,1.0,191.52,2007,11,23.0,99
608388390,608388390,CHARGE,chg,2,1.0,29.4,2007,11,23.0,100
608388540,608388540,CHARGE,chg,2,1.0,15.0,2007,11,23.0,101
608388540,608388540,CHARGE,chg,1,1.0,97.8,2007,11,23.0,102
608388980,608388980,CHARGE,chg,1,1.0,94.8,2007,11,24.0,103
608388980,608388980,CHARGE,chg,2,1.0,14.52,2007,11,24.0,104
608388990,608388990,CHARGE,chg,1,1.0,73.32,2007,11,23.0,105
608388990,608388990,CHARGE,chg,2,1.0,11.28,2007,11,23.0,106
608389000,608389000,CHARGE,chg,1,1.0,22.44,2007,11,83.0,107
608389000,608389000,CHARGE,chg,2,1.0,3.48,2007,11,83.0,108
608389390,608389390,CHARGE,chg,1,1.0,68.76,2007,11,23.0,109
608389390,608389390,CHARGE,chg,2,1.0,10.56,2007,11,23.0,110
608389830,608389830,CHARGE,chg,1,1.0,126.6,2007,11,24.0,111
608389830,608389830,CHARGE,chg,2,1.0,19.44,2007,11,24.0,112
608389870,608389870,CHARGE,chg,2,1.0,9.48,2007,11,23.0,113
608389870,608389870,CHARGE,chg,1,1.0,62.04,2007,11,23.0,114
608389960,608389960,CHARGE,chg,1,1.0,77.4,2007,11,24.0,115
608389960,608389960,CHARGE,chg,2,1.0,11.88,2007,11,24.0,116
608389980,608389980,CHARGE,chg,1,1.0,132.6,2007,11,24.0,117
608389980,608389980,CHARGE,chg,2,1.0,20.4,2007,11,24.0,118
608390030,608390030,CHARGE,chg,1,1.0,46.8,2007,11,23.0,119
608390030,608390030,CHARGE,chg,2,1.0,7.2,2007,11,23.0,120
608390090,608390090,CHARGE,chg,1,1.0,48.0,2007,11,23.0,121
608390090,608390090,CHARGE,chg,2,1.0,7.32,2007,11,23.0,122
608390120,608390120,CHARGE,chg,1,1.0,45.84,2007,11,23.0,123
