keyfield,postid,product,group,fondscd,unitaant,garkap,belegprc,prodboomcd,tarcd,unitsavprt,unitsrv_pp,unitext_bp,recordno
608315710,608315710,FUND,AXENT,003,240.3588,5097,100.0,SCHAKELSPAAR,SCHAKELSPAAR,233.7982,6.5606,0.0,68
608315750,608315750,FUND,AXENT,003,54.144600000000004,1396,100.0,SCHAKELSPAAR,SCHAKELSPAAR,52.395,1.7496,0.0,69
608315800,608315800,FUND,AXENT,012,2276.5976,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,2259.1101,17.4875,0.0,70
608315860,608315860,FUND,AXENT,003,372.0113,7025,100.0,SCHAKELSPAAR,SCHAKELSPAAR,361.0173,10.994,0.0,71
608315870,608315870,FUND,AXENT,003,467.52779999999996,12629,100.0,SCHAKELSPAAR,SCHAKELSPAAR,458.4985,9.0293,0.0,72
608315890,608315890,FUND,AXENT,003,623.6417,15382,100.0,SCHAKELSPAAR,SCHAKELSPAAR,602.1387,21.503,0.0,73
608315900,608315900,FUND,AXENT,012,1007.5651,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,956.5322,51.0329,0.0,74
608315980,608315980,FUND,AXENT,012,1454.1648,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1437.7779,16.3869,0.0,75
608316010,608316010,FUND,AXENT,003,478.7767,11931,100.0,SCHAKELSPAAR,SCHAKELSPAAR,468.1048,10.6719,0.0,76
608316140,608316140,FUND,AXENT,003,1242.0990000000002,33973,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1231.7633,10.3357,0.0,77
608316160,608316160,FUND,AXENT,003,109.99289999999999,1766,100.0,SCHAKELSPAAR,SCHAKELSPAAR,107.478,2.5149,0.0,78
608316190,608316190,FUND,AXENT,003,435.5556,11571,100.0,SCHAKELSPAAR,SCHAKELSPAAR,433.3245,2.2311,0.0,79
608316210,608316210,FUND,AXENT,003,593.297,21017,100.0,SCHAKELSPAAR,SCHAKELSPAAR,576.1174,17.1796,0.0,80
608316270,608316270,FUND,AXENT,012,521.9383,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,513.7449,8.1934,0.0,81
608316280,608316280,FUND,AXENT,012,787.8318,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,771.5827,16.2491,0.0,82
608316360,608316360,FUND,AXENT,003,355.7181,9640,100.0,SCHAKELSPAAR,SCHAKELSPAAR,349.7685,5.9496,0.0,83
608316400,608316400,FUND,AXENT,003,251.77949999999998,6951,100.0,SCHAKELSPAAR,SCHAKELSPAAR,250.5136,1.2659,0.0,84
608316430,608316430,FUND,AXENT,003,284.6768,8580,100.0,SCHAKELSPAAR,SCHAKELSPAAR,282.9524,1.7244,0.0,85
608316450,608316450,FUND,AXENT,012,605.4497,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,603.3258,2.1239,0.0,86
608316530,608316530,FUND,AXENT,003,244.3124,6663,100.0,SCHAKELSPAAR,SCHAKELSPAAR,241.5564,2.756,0.0,87
608316540,608316540,FUND,AXENT,003,251.9569,6911,100.0,SCHAKELSPAAR,SCHAKELSPAAR,250.4844,1.4725,0.0,88
608316580,608316580,FUND,AXENT,003,662.9477,18160,100.0,SCHAKELSPAAR,SCHAKELSPAAR,655.4058,7.5419,0.0,89
608316610,608316610,FUND,AXENT,012,553.2524999999999,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,550.6776,2.5749,0.0,90
608316670,608316670,FUND,AXENT,003,96.6561,1570,100.0,SCHAKELSPAAR,SCHAKELSPAAR,95.1732,1.4829,0.0,91
608316750,608316750,FUND,AXENT,003,280.8318,7768,100.0,SCHAKELSPAAR,SCHAKELSPAAR,279.9345,0.8973,0.0,92
608316760,608316760,FUND,AXENT,003,787.3821,15004,100.0,SCHAKELSPAAR,SCHAKELSPAAR,775.6266,11.7555,0.0,93
608316890,608316890,FUND,AXENT,003,676.9308,18625,100.0,SCHAKELSPAAR,SCHAKELSPAAR,671.7465,5.1843,0.0,94
608317000,608317000,FUND,AXENT,012,506.37330000000003,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,496.5226,9.8507,0.0,95
608317030,608317030,FUND,AXENT,012,556.2632,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,554.1006,2.1626,0.0,96
608317050,608317050,FUND,AXENT,012,1441.8589,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1424.5454,17.3135,0.0,97
608317090,608317090,FUND,AXENT,003,947.5246,25827,100.0,SCHAKELSPAAR,SCHAKELSPAAR,932.5282,14.9964,0.0,98
608317110,608317110,FUND,AXENT,012,4.7722999999999995,0,50.0,SCHAKELSPAAR,SCHAKELSPAAR,4.7676,0.0047,0.0,100
608317110,608317110,FUND,AXENT,003,402.0926,9567,50.0,SCHAKELSPAAR,SCHAKELSPAAR,398.2117,3.8809,0.0,99
608317120,608317120,FUND,AXENT,003,220.4553,5923,100.0,SCHAKELSPAAR,SCHAKELSPAAR,214.185,6.2703,0.0,101
608317260,608317260,FUND,AXENT,012,866.9173,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,864.8521,2.0652,0.0,102
608317280,608317280,FUND,AXENT,012,835.7817,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,828.3709,7.4108,0.0,103
608317290,608317290,FUND,AXENT,012,212.4686,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,200.8658,11.6028,0.0,104
608317320,608317320,FUND,AXENT,002,502.2049,20655,100.0,SCHAKELSPAAR,SCHAKELSPAAR,485.3869,16.818,0.0,105
608317330,608317330,FUND,AXENT,002,299.23670000000004,12553,100.0,SCHAKELSPAAR,SCHAKELSPAAR,297.369,1.8677,0.0,106
608317390,608317390,FUND,AXENT,003,194.2484,3226,100.0,SCHAKELSPAAR,SCHAKELSPAAR,192.1609,2.0875,0.0,107
608317400,608317400,FUND,AXENT,003,289.92060000000004,6611,100.0,SCHAKELSPAAR,SCHAKELSPAAR,286.7445,3.1761,0.0,108
608317420,608317420,FUND,AXENT,012,198.3541,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,193.7616,4.5925,0.0,109
608317460,608317460,FUND,AXENT,003,688.4699,19004,100.0,SCHAKELSPAAR,SCHAKELSPAAR,685.1642,3.3057,0.0,110
608317490,608317490,FUND,AXENT,003,251.6405,5536,100.0,SCHAKELSPAAR,SCHAKELSPAAR,246.1222,5.5183,0.0,111
608317530,608317530,FUND,AXENT,012,1094.4215,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1087.3478,7.0737,0.0,112
608317600,608317600,FUND,AXENT,003,366.41290000000004,10051,100.0,SCHAKELSPAAR,SCHAKELSPAAR,362.6512,3.7617,0.0,113
