postid,product,prodbm_cd,group,nb_if,recordno,paid_uppol,no_pol,no_ins,sales_chan,intermed,leg_entity,riderprem,rid_pay_mt,rid_prm_fr,iss_yr,iss_mth,sex_1,age_iss_1,dob_yr_1,dob_mth_1,age_adj_1,sex_2,age_iss_2,dob_yr_2,dob_mth_2,age_adj_2,perstpcd,profit_grp,tarcd,kas,ben_term_k,rid_cd,acc_cov_cd,acc_prem,acc_pay_mt,ris_res,rid_ibnr,rid_age_rs
608476000,SPAARKAS,SCHAKELSPAAR,1,IF,36,N,1,1,ASB,,C,0.0,0.0,M,2001,5,F,44.17,1957,2,0.0,,,,,,N,F,SCHAKELSPAAR,F,249.0,0,0,0.0,0.0,,,
608476940,SPAARKAS,SCHAKELSPAAR,1,IF,37,N,1,1,ASB,,C,0.0,0.0,M,2001,5,M,25.42,1975,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608477750,SPAARKAS,SCHAKELSPAAR,1,IF,38,N,1,1,ASB,,C,0.0,0.0,M,2001,4,F,33.17,1968,1,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608478880,SPAARKAS,SCHAKELSPAAR,1,IF,39,N,1,1,ASB,,C,0.0,0.0,M,2001,5,F,32.5,1968,10,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608479780,SPAARKAS,SCHAKELSPAAR,1,IF,40,Y,1,1,ASB,,C,0.0,0.0,M,2001,5,F,22.58,1978,9,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608340350,SPAARKAS,SCHAKELSPAAR,1,IF,41,N,1,1,ASB,,C,0.0,0.0,M,1998,5,F,4.17,1994,2,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608480670,SPAARKAS,SCHAKELSPAAR,1,IF,42,Y,1,1,ASB,,C,0.0,0.0,M,2001,5,F,42.83,1958,6,0.0,,,,,,N,F,SCHAKELSPAAR,F,265.0,0,0,0.0,0.0,,,
608481210,SPAARKAS,SCHAKELSPAAR,1,IF,43,N,1,1,ASB,,C,0.0,0.0,M,2001,6,F,30.25,1971,2,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608481940,SPAARKAS,SCHAKELSPAAR,1,IF,44,Y,1,1,ASB,,C,0.0,0.0,M,2001,6,M,42.83,1958,7,0.0,,,,,,N,F,SCHAKELSPAAR,F,265.0,0,0,0.0,0.0,,,
608482830,SPAARKAS,SCHAKELSPAAR,1,IF,45,Y,1,1,ASB,,C,0.0,0.0,M,2001,6,F,36.58,1964,10,0.0,,,,,,N,F,SCHAKELSPAAR,F,340.0,0,0,0.0,0.0,,,
608483580,SPAARKAS,SCHAKELSPAAR,1,IF,46,Y,1,1,ASB,,C,0.0,0.0,M,2001,6,M,31.08,1970,4,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608484330,SPAARKAS,SCHAKELSPAAR,1,IF,47,Y,1,1,ASB,,C,0.0,0.0,M,2001,5,M,33.08,1968,3,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608339800,SPAARKAS,SCHAKELSPAAR,1,IF,48,Y,1,1,ASB,,C,0.0,0.0,M,1998,5,M,32.33,1965,12,0.0,,,,,,N,F,SCHAKELSPAAR,F,336.0,0,0,0.0,0.0,,,
608485130,SPAARKAS,SCHAKELSPAAR,1,IF,49,Y,1,1,ASB,,C,0.0,0.0,M,2001,6,M,32.67,1968,9,0.0,,,,,,N,F,SCHAKELSPAAR,F,327.0,0,0,0.0,0.0,,,
608500590,SPAARKAS,SCHAKELSPAAR,1,IF,50,N,1,1,ASB,,C,0.0,0.0,M,2001,9,F,29.33,1972,4,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608485880,SPAARKAS,SCHAKELSPAAR,1,IF,51,Y,1,1,ASB,,C,0.0,0.0,M,2001,6,M,41.17,1960,3,0.0,,,,,,N,F,SCHAKELSPAAR,F,285.0,0,0,0.0,0.0,,,
608487680,SPAARKAS,SCHAKELSPAAR,1,IF,52,N,1,1,MVI,,C,0.0,0.0,M,2001,6,M,36.67,1964,9,0.0,,,,,,N,F,SCHAKELSPAAR,F,339.0,0,0,0.0,0.0,,,
608488860,SPAARKAS,SCHAKELSPAAR,1,IF,53,Y,1,1,ASB,,C,0.0,0.0,M,2001,7,M,28.25,1973,3,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608489510,SPAARKAS,SCHAKELSPAAR,1,IF,54,N,1,1,ASB,,C,0.0,0.0,M,2001,8,M,20.33,1981,3,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
