POSTID,KEYFIELD,PRODUCT,GROUP,KSTVLGNR,KSTCD,KSTTOTBD,KSTVBGJR,KSTVBGMD,CHGPERIOD
613856830,613856830,CHARGE,chg,1,1,28.92,2005,2,120.00
613856890,613856890,CHARGE,chg,1,1,16.56,2007,1,120.00
613856940,613856940,CHARGE,chg,1,1,2.28,2004,6,120.00
613861680,613861680,CHARGE,chg,1,1,23.88,2004,8,120.00
613865390,613865390,CHARGE,chg,1,1,56.16,2005,3,120.00
613865480,613865480,CHARGE,chg,1,1,7.68,2005,1,120.00
613869450,613869450,CHARGE,chg,1,1,38.64,2005,10,120.00
613871290,613871290,CHARGE,chg,1,1,2.16,2003,12,120.00
613874990,613874990,CHARGE,chg,1,1,16.68,2006,12,120.00
613875070,613875070,CHARGE,chg,1,1,54.72,2004,8,120.00
613882010,613882010,CHARGE,chg,1,1,6.48,2004,11,120.00
613882100,613882100,CHARGE,chg,1,1,2.40,2013,8,119.00
613882920,613882920,CHARGE,chg,1,1,42.00,2005,2,120.00
613883790,613883790,CHARGE,chg,1,1,2.88,2004,2,120.00
613883920,613883920,CHARGE,chg,1,1,24.60,2004,10,120.00
613891530,613891530,CHARGE,chg,1,1,14.76,2007,7,120.00
613891800,613891800,CHARGE,chg,1,1,17.40,2006,11,120.00
613898610,613898610,CHARGE,chg,1,1,33.24,2004,10,120.00
613898610,613898610,CHARGE,chg,2,1,58.80,2006,3,120.00
613900030,613900030,CHARGE,chg,1,1,34.92,2006,6,120.00
613900040,613900040,CHARGE,chg,1,1,54.72,2005,9,120.00
613900970,613900970,CHARGE,chg,1,1,25.08,2015,2,120.00
613901440,613901440,CHARGE,chg,1,1,4.44,2005,2,120.00
613901470,613901470,CHARGE,chg,1,1,20.40,2005,5,120.00
613901510,613901510,CHARGE,chg,1,1,7.20,2004,8,120.00
613902660,613902660,CHARGE,chg,1,1,15.48,2004,4,120.00
613903420,613903420,CHARGE,chg,1,1,77.04,2006,1,120.00
613904640,613904640,CHARGE,chg,1,1,15.84,2007,7,120.00
613906380,613906380,CHARGE,chg,1,1,12.60,2022,6,120.00
613907030,613907030,CHARGE,chg,1,1,27.72,2006,12,120.00
613909470,613909470,CHARGE,chg,1,1,57.00,2004,1,120.00
613912250,613912250,CHARGE,chg,1,1,97.44,2006,10,120.00
613912450,613912450,CHARGE,chg,1,1,24.00,2006,1,120.00
613913630,613913630,CHARGE,chg,1,1,25.44,2006,11,120.00
613914210,613914210,CHARGE,chg,1,1,14.76,2004,1,120.00
613914290,613914290,CHARGE,chg,1,1,8.40,2006,10,120.00
613914990,613914990,CHARGE,chg,1,1,81.72,2007,7,120.00
613915190,613915190,CHARGE,chg,1,1,16.44,2015,8,120.00
613916520,613916520,CHARGE,chg,1,1,21.12,2005,4,120.00
613919370,613919370,CHARGE,chg,1,1,21.72,2006,11,120.00
613920210,613920210,CHARGE,chg,1,1,78.72,2004,8,120.00
613920360,613920360,CHARGE,chg,1,1,39.36,2005,5,120.00
613920760,613920760,CHARGE,chg,1,1,42.60,2006,4,120.00
613924070,613924070,CHARGE,chg,1,1,48.00,2006,11,120.00
613925180,613925180,CHARGE,chg,1,1,42.96,2006,1,120.00
613925530,613925530,CHARGE,chg,1,1,85.20,2004,8,120.00
613927960,613927960,CHARGE,chg,1,1,28.68,2006,2,120.00
613929330,613929330,CHARGE,chg,1,1,43.44,2004,3,120.00
613929400,613929400,CHARGE,chg,1,1,27.60,2012,6,120.00
613930980,613930980,CHARGE,chg,1,1,1.92,2004,8,120.00
613931280,613931280,CHARGE,chg,1,1,164.28,2006,6,120.00
613934260,613934260,CHARGE,chg,1,1,71.28,2004,6,120.00
613934950,613934950,CHARGE,chg,1,1,18.24,2008,5,120.00
613935090,613935090,CHARGE,chg,1,1,28.80,2016,8,120.00
613935170,613935170,CHARGE,chg,1,1,2.04,2003,12,120.00
613935210,613935210,CHARGE,chg,1,1,84.60,2004,10,120.00
613935450,613935450,CHARGE,chg,1,1,10.44,2010,8,120.00
613935970,613935970,CHARGE,chg,1,1,86.04,2004,11,120.00
613937270,613937270,CHARGE,chg,1,1,138.96,2007,1,120.00
613937270,613937270,CHARGE,chg,2,1,25.92,2005,1,120.00
613937330,613937330,CHARGE,chg,1,1,55.08,2008,4,89.00
613937570,613937570,CHARGE,chg,1,1,13.20,2005,3,120.00
613937770,613937770,CHARGE,chg,1,1,4.80,2005,12,120.00
613938410,613938410,CHARGE,chg,1,1,48.48,2005,3,120.00
613938560,613938560,CHARGE,chg,1,1,95.52,2003,12,120.00
613938630,613938630,CHARGE,chg,1,1,103.68,2003,12,120.00
613938680,613938680,CHARGE,chg,1,1,53.88,2004,2,120.00
613938770,613938770,CHARGE,chg,1,1,53.88,2004,3,120.00
613938840,613938840,CHARGE,chg,1,1,90.60,2004,5,120.00
613938860,613938860,CHARGE,chg,1,1,51.60,2004,6,120.00
613938900,613938900,CHARGE,chg,1,1,64.80,2004,6,120.00
613938990,613938990,CHARGE,chg,1,1,45.60,2004,9,120.00
613939010,613939010,CHARGE,chg,1,1,85.80,2004,9,120.00
613939070,613939070,CHARGE,chg,1,1,68.40,2004,12,120.00
613939110,613939110,CHARGE,chg,1,1,65.76,2005,2,120.00
613939110,613939110,CHARGE,chg,2,1,17.40,2006,8,120.00
613939140,613939140,CHARGE,chg,1,1,75.84,2005,2,120.00
613939240,613939240,CHARGE,chg,1,1,252.00,2005,3,120.00
613939270,613939270,CHARGE,chg,1,1,84.00,2005,4,120.00
613939300,613939300,CHARGE,chg,1,1,91.20,2005,6,120.00
613939310,613939310,CHARGE,chg,1,1,75.96,2005,6,120.00
613947320,613947320,CHARGE,chg,1,1,15.36,2015,2,106.00
613947680,613947680,CHARGE,chg,1,1,16.32,2008,11,120.00
613952170,613952170,CHARGE,chg,1,1,4.80,2015,2,107.00
613979170,613979170,CHARGE,chg,1,1,6.12,2017,7,120.00
613979710,613979710,CHARGE,chg,1,1,9.48,2011,9,120.00
613987760,613987760,CHARGE,chg,1,1,35.76,2006,3,120.00
613997840,613997840,CHARGE,chg,1,1,92.76,2006,9,120.00
614006680,614006680,CHARGE,chg,1,1,26.88,2005,9,120.00
614013480,614013480,CHARGE,chg,1,1,91.80,2004,5,120.00
614022080,614022080,CHARGE,chg,1,1,12.24,2012,12,120.00
614026240,614026240,CHARGE,chg,1,1,4.08,2006,10,120.00
614026720,614026720,CHARGE,chg,1,1,45.00,2008,4,120.00
614030600,614030600,CHARGE,chg,1,1,7.56,2007,1,120.00
614032610,614032610,CHARGE,chg,1,1,25.68,2010,7,120.00
614034580,614034580,CHARGE,chg,1,1,18.72,2004,8,120.00
614034580,614034580,CHARGE,chg,2,1,39.12,2004,9,120.00
614034580,614034580,CHARGE,chg,3,1,10.44,2004,9,120.00
614034580,614034580,CHARGE,chg,4,1,17.76,2004,9,120.00
614038320,614038320,CHARGE,chg,1,1,36.60,2004,6,120.00
614040520,614040520,CHARGE,chg,1,1,93.12,2006,4,120.00
614044700,614044700,CHARGE,chg,1,1,2.40,2005,8,120.00
614044860,614044860,CHARGE,chg,1,1,15.60,2006,2,120.00
614044870,614044870,CHARGE,chg,1,1,15.60,2006,2,120.00
614046900,614046900,CHARGE,chg,1,1,66.24,2004,3,120.00
614047540,614047540,CHARGE,chg,1,1,3.36,2005,1,120.00
614051120,614051120,CHARGE,chg,1,1,4.80,2005,12,120.00
614057560,614057560,CHARGE,chg,1,1,16.80,2005,10,120.00
614060700,614060700,CHARGE,chg,1,1,2.64,2004,6,120.00
614060710,614060710,CHARGE,chg,1,1,2.64,2004,6,120.00
614062440,614062440,CHARGE,chg,1,1,2.04,2004,7,120.00
614064640,614064640,CHARGE,chg,1,1,20.16,2007,3,120.00
614065990,614065990,CHARGE,chg,1,1,6.00,2004,12,120.00
614069230,614069230,CHARGE,chg,1,1,2.28,2007,5,120.00
614070170,614070170,CHARGE,chg,1,1,58.20,2007,8,120.00
614075310,614075310,CHARGE,chg,1,1,38.88,2004,9,120.00
614077610,614077610,CHARGE,chg,1,1,44.40,2005,3,120.00
614080330,614080330,CHARGE,chg,1,1,218.16,2016,7,120.00
614082790,614082790,CHARGE,chg,1,1,43.56,2007,11,120.00
614083890,614083890,CHARGE,chg,1,1,79.56,2007,1,120.00
614084050,614084050,CHARGE,chg,1,1,21.36,2013,12,119.00
614088060,614088060,CHARGE,chg,1,1,9.96,2006,12,120.00
614088100,614088100,CHARGE,chg,1,1,60.60,2007,4,120.00
614088160,614088160,CHARGE,chg,1,1,9.36,2005,1,120.00
614088280,614088280,CHARGE,chg,1,1,52.32,2007,3,120.00
614088490,614088490,CHARGE,chg,1,1,20.88,2007,3,120.00
614089080,614089080,CHARGE,chg,1,1,42.96,2005,2,120.00
614090200,614090200,CHARGE,chg,1,1,17.76,2004,1,120.00
614092180,614092180,CHARGE,chg,1,1,2.76,2004,1,120.00
614095570,614095570,CHARGE,chg,1,1,0.60,2004,9,120.00
614096690,614096690,CHARGE,chg,1,1,94.56,2004,2,120.00
614099630,614099630,CHARGE,chg,1,1,39.24,2004,4,120.00
614103960,614103960,CHARGE,chg,1,1,3.24,2004,12,120.00
614103990,614103990,CHARGE,chg,1,1,54.00,2006,4,120.00
614106670,614106670,CHARGE,chg,1,1,67.20,2004,9,120.00
614109480,614109480,CHARGE,chg,1,1,23.76,2006,3,120.00
614110820,614110820,CHARGE,chg,1,1,19.08,2004,4,120.00
614111820,614111820,CHARGE,chg,1,1,1.68,2005,1,120.00
614113830,614113830,CHARGE,chg,1,1,29.88,2004,8,120.00
614115910,614115910,CHARGE,chg,1,1,31.80,2005,2,120.00
614116690,614116690,CHARGE,chg,1,1,64.32,2005,7,120.00
614120340,614120340,CHARGE,chg,1,1,20.28,2014,3,120.00
614120870,614120870,CHARGE,chg,1,1,74.28,2006,1,120.00
614120900,614120900,CHARGE,chg,1,1,23.28,2004,7,120.00
614121090,614121090,CHARGE,chg,1,1,54.72,2004,7,120.00
614122520,614122520,CHARGE,chg,1,1,33.24,2006,11,120.00
614123330,614123330,CHARGE,chg,1,1,35.76,2005,9,120.00
614125500,614125500,CHARGE,chg,1,1,5.64,2004,1,120.00
614128450,614128450,CHARGE,chg,1,1,9.48,2005,2,120.00
614130580,614130580,CHARGE,chg,1,1,100.08,2004,10,120.00
614131070,614131070,CHARGE,chg,1,1,45.72,2007,5,120.00
614131850,614131850,CHARGE,chg,1,1,81.96,2003,12,120.00
614137360,614137360,CHARGE,chg,1,1,28.44,2007,5,120.00
614147070,614147070,CHARGE,chg,1,1,15.60,2015,2,120.00
614149250,614149250,CHARGE,chg,1,1,68.88,2004,8,120.00
614149780,614149780,CHARGE,chg,1,1,12.24,2004,5,120.00
614151100,614151100,CHARGE,chg,1,1,21.72,2006,11,120.00
614152500,614152500,CHARGE,chg,1,1,19.68,2006,7,120.00
614152500,614152500,CHARGE,chg,2,1,3.84,2016,1,120.00
614156050,614156050,CHARGE,chg,1,1,66.24,2004,10,120.00
614159550,614159550,CHARGE,chg,1,1,24.00,2006,6,120.00
614160520,614160520,CHARGE,chg,1,1,17.88,2005,12,120.00
614160990,614160990,CHARGE,chg,1,1,53.64,2005,2,120.00
614162590,614162590,CHARGE,chg,1,1,97.68,2005,4,120.00
614163960,614163960,CHARGE,chg,1,1,78.48,2007,2,120.00
614163990,614163990,CHARGE,chg,1,1,25.20,2014,2,120.00
614163990,614163990,CHARGE,chg,2,1,24.00,2014,12,120.00
614167850,614167850,CHARGE,chg,1,1,12.00,2006,3,120.00
614168810,614168810,CHARGE,chg,1,1,34.80,2005,1,120.00
614169110,614169110,CHARGE,chg,1,1,38.28,2008,1,120.00
614169660,614169660,CHARGE,chg,1,1,70.92,2006,10,120.00
614169790,614169790,CHARGE,chg,1,1,37.08,2005,1,120.00
614169790,614169790,CHARGE,chg,2,1,24.24,2006,9,120.00
