POSTID,KEYFIELD,PRODUCT,GROUP,FONDSCD,UNITAANT,GARKAP,BELEGPRC,PRODBOOMCD,TARCD,UNITSAVPRT,UNITSRV_PP,UNITEXT_BP
613458820,613458820,FUND,F,1,481.3571,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,471.8318,9.5253,0.0000
613458860,613458860,FUND,F,1,560.4076,0.00,100.000000,KOERSPLAN,KOERSPLAN,536.5733,23.8343,0.0000
613458890,613458890,FUND,F,3,207.2751,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,203.0098,4.2653,0.0000
613458920,613458920,FUND,F,1,266.8751,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,264.5718,2.3033,0.0000
613458930,613458930,FUND,F,1,310.3300,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,307.0085,3.3215,0.0000
613458960,613458960,FUND,F,1,370.5435,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,361.6148,8.9287,0.0000
613458980,613458980,FUND,F,1,23.3718,0.00,100.000000,KOERSPLAN,KOERSPLAN,23.1016,0.2702,0.0000
613459000,613459000,FUND,F,1,173.4957,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,169.7773,3.7184,0.0000
613459010,613459010,FUND,F,1,35.3905,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,34.7663,0.6242,0.0000
613459020,613459020,FUND,F,3,122.8919,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,121.5116,1.3803,0.0000
613459050,613459050,FUND,F,1,351.6282,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,343.1869,8.4413,0.0000
613459080,613459080,FUND,F,1,397.1458,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,389.3725,7.7733,0.0000
613459110,613459110,FUND,F,1,2003.4352,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,1985.0253,18.4099,0.0000
613459130,613459130,FUND,F,1,52.7947,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,49.5913,3.2034,0.0000
613459150,613459150,FUND,F,1,305.3553,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,301.5897,3.7656,0.0000
613459160,613459160,FUND,F,1,35.3265,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,32.6419,2.6846,0.0000
613459170,613459170,FUND,F,3,12.7951,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,12.4511,0.3440,0.0000
613459180,613459180,FUND,F,1,22.1774,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,21.4746,0.7028,0.0000
613459190,613459190,FUND,F,1,252.9314,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,247.7956,5.1358,0.0000
613459200,613459200,FUND,F,1,250.0107,0.00,100.000000,KOERSPLAN,KOERSPLAN,247.6831,2.3276,0.0000
613459270,613459270,FUND,F,1,24.8052,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,24.1510,0.6542,0.0000
613459320,613459320,FUND,F,1,203.7734,0.00,100.000000,KOERSPLAN,KOERSPLAN,201.5902,2.1832,0.0000
613459330,613459330,FUND,F,1,570.4767,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,559.9570,10.5197,0.0000
613459450,613459450,FUND,F,1,9.9831,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,9.5785,0.4046,0.0000
613459680,613459680,FUND,F,1,603.5815,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,597.1490,6.4325,0.0000
613459690,613459690,FUND,F,1,610.4216,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,603.7944,6.6272,0.0000
613459820,613459820,FUND,F,1,1010.6129,0.00,100.000000,KOERSPLAN,KOERSPLAN,956.2405,54.3724,0.0000
613459870,613459870,FUND,F,1,34.2056,0.00,100.000000,KOERSPLAN,KOERSPLAN,33.7425,0.4631,0.0000
613459900,613459900,FUND,F,1,47.3507,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,45.5883,1.7624,0.0000
613459910,613459910,FUND,F,1,32.1303,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,31.5201,0.6102,0.0000
613459930,613459930,FUND,F,1,518.6197,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,506.9869,11.6328,0.0000
613459940,613459940,FUND,F,1,13.2747,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,13.0621,0.2126,0.0000
613459960,613459960,FUND,F,1,28.7710,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,27.6969,1.0741,0.0000
613459970,613459970,FUND,F,1,241.6310,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,233.4931,8.1379,0.0000
613459980,613459980,FUND,F,1,538.8007,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,533.7197,5.0810,0.0000
613460010,613460010,FUND,F,1,196.1583,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,189.3266,6.8317,0.0000
613460030,613460030,FUND,F,3,144.6835,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,139.7278,4.9557,0.0000
613460050,613460050,FUND,F,1,545.9141,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,526.2926,19.6215,0.0000
613460070,613460070,FUND,F,1,384.1216,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,363.8842,20.2374,0.0000
613460080,613460080,FUND,F,1,103.8241,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,102.0997,1.7244,0.0000
613460090,613460090,FUND,F,3,120.6108,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,118.2139,2.3969,0.0000
613460110,613460110,FUND,F,1,22.9441,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,22.3299,0.6142,0.0000
613460120,613460120,FUND,F,1,447.6433,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,442.3533,5.2900,0.0000
613460140,613460140,FUND,F,1,280.1085,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,275.4108,4.6977,0.0000
613460150,613460150,FUND,F,3,55.3922,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,53.4429,1.9493,0.0000
613460170,613460170,FUND,F,1,381.3849,0.00,100.000000,KOERSPLAN,KOERSPLAN,361.6022,19.7827,0.0000
613460210,613460210,FUND,F,1,200.8637,0.00,100.000000,KOERSPLAN,KOERSPLAN,199.1331,1.7306,0.0000
613460330,613460330,FUND,F,1,31.6508,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,31.1786,0.4722,0.0000
613460340,613460340,FUND,F,1,176.3116,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,174.1655,2.1461,0.0000
613460350,613460350,FUND,F,1,318.4514,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,314.6528,3.7986,0.0000
613460360,613460360,FUND,F,1,10.8179,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,10.5505,0.2674,0.0000
613460370,613460370,FUND,F,1,67.0293,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,66.1774,0.8519,0.0000
613460380,613460380,FUND,F,1,71.6606,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,70.1444,1.5162,0.0000
